n_mutations mean_complexity quintile
0 40.9463973216676 G1
1 42.2658970060241 G1
2 44.0364808954545 G1
3 45.6203770090909 G1
4 45.5150467405405 G1
5 45.6866524597156 G1
6 46.4609534205128 G1
7 46.7714693862434 G1
8 45.4222133163842 G1
9 46.3684497842105 G1
10 46.6962801079545 G1
0 45.2334943086431 G2
1 45.5334207554859 G2
2 45.9517193724696 G2
3 46.2464006538462 G2
4 45.8496250756757 G2
5 46.1753327814208 G2
6 46.538557238342 G2
7 46.6014603172043 G2
8 46.4759860546448 G2
9 46.5373694789474 G2
10 46.4995553505155 G2
0 46.6542221200686 G3
1 46.5964672832861 G3
2 46.6348449330709 G3
3 46.5692380134529 G3
4 46.2277662628866 G3
5 46.3801993318777 G3
6 46.6862177535545 G3
7 46.6675455376884 G3
8 46.3383774416244 G3
9 46.261381407767 G3
10 45.9336426858639 G3
0 48.142106 G4
1 47.8191321823204 G4
2 47.6344853214286 G4
3 47.0525238631179 G4
4 46.713304 G4
5 46.4858160334928 G4
6 46.7641120928962 G4
7 46.7738190471204 G4
8 46.4770410052632 G4
9 46.1738143333333 G4
10 46.183945234375 G4
0 50.924438957328 G5
1 50.1896377589041 G5
2 48.677018762963 G5
3 48.0633945793991 G5
4 46.9897361390374 G5
5 47.1727142514286 G5
6 46.5773969100529 G5
7 46.0321111741294 G5
8 46.4738155 G5
9 46.5339478308458 G5
10 46.239834643617 G5
