Number of mutations,MeanG1,MeanG2,MeanG3,MeanG4,MeanG5
0,3.5324334331107505,5.594826265073452,7.086546817998661,8.37790265530593,9.771713748592353
1,4.820292504002346,6.099759335496331,7.225018768059229,7.9065385424734895,8.610437621948044
2,5.377327394018722,6.2756466862045786,7.243551630062285,7.637637205108398,8.1625018441006
3,5.663712563462169,6.481606228087595,7.177113068164538,7.47853433319537,7.844645776916114
4,5.912682332257938,6.559234442515489,7.153335056537976,7.38482099325539,7.670157132774135
5,5.973526067890612,6.659591638645244,7.062419129730532,7.331320467095625,7.504760081312902
6,6.098360628930063,6.646303926265694,7.090393261055899,7.334467556869729,7.514201350635213
7,6.111998017951179,6.654696165663305,7.099484853736644,7.2596367555743715,7.3474055926077115
8,6.196270088568848,6.6851180334796405,7.127458985062011,7.202989139640502,7.435174429641051
9,6.362016816671649,6.7078470151815015,7.023605022516586,7.200541403149533,7.343908826192041
10,6.38474579837351,6.778831373419622,7.102631943510748,7.099834530378211,7.3495036524571145
11,6.4525830668375255,6.767641720889475,7.00017668753159,6.977797382471296,7.356147508646888
12,6.530560957906987,6.784426199684695,6.923597503028397,6.985140591944205,7.236558097230944
13,6.558535089232354,6.829184809805282,6.924646532953099,6.971852879564656,7.182008541146477
14,6.623924621205401,6.831632546296253,6.936535538766379,6.944927778163989,7.158230529519915
15,6.6508497226060665,6.892476281928927,6.924646532953099,6.880237599474078,7.163825355784988
