complexity_bin Random_Sample 0_Mut Single_Mut Double_Mut
0-9 0.018126 1.72971177812641e-06 0.00190441266771718 0.00391606746567819
30-39 0.146358 0.000131458095137607 0.0170618769794389 0.0317108060283915
45-54 0.046785 0.00199954681551413 0.00741181496927167 0.0118969576099535
60-69 0.041722 0.00798089014427526 0.0117862560561534 0.0154740015671189
75-84 0.036326 0.0118122017328253 0.0145987674073869 0.0170342015909889
90-99 0.051247 0.0254890327624708 0.0285506226097545 0.031224757018738
105-114 0.054531 0.0412657338907618 0.0435091700669917 0.0443515397029393
120-129 0.060533 0.0630099406535889 0.0626518903155167 0.0621433550527476
135-144 0.065892 0.08346724185349 0.0818759070176137 0.0798452253900933
150-159 0.057219 0.0811926708652537 0.0780532439879543 0.076256073450481
165-174 0.064272 0.0979414700128518 0.0926468222600068 0.0894866388413699
180-189 0.060784 0.0958121948139782 0.0921676920974658 0.0883830827269252
195-204 0.056709 0.0910416497299055 0.0869560705099709 0.083700752943537
210-219 0.050769 0.0828358970544738 0.0786863184987485 0.0759810492777589
225-234 0.038808 0.0641550098507086 0.0614255246648251 0.0579972359205786
240-249 0.038838 0.0647828952261685 0.0618302772209067 0.0592737632128358
255-264 0.031974 0.0535760926156875 0.0513222781687887 0.0490477071805525
270-279 0.025119 0.0422118862333969 0.0401172052700858 0.038435925421747
285-294 0.018759 0.0316174015923727 0.0299015275084713 0.0290435904665206
300-309 0.011724 0.0198709289071162 0.0190804506245124 0.0182761346476837
315-324 0.009714 0.0164288024686447 0.0158925918174255 0.0148962778332247
330-339 0.006285 0.0106359977236993 0.0102295154558396 0.00964141345127661
345-354 0.003693 0.00627539433104262 0.00620620585991756 0.00602458612321429
360-369 0.002153 0.00365661069895923 0.00345250470914032 0.00328299295488393
375-384 0.000917 0.00155155146497939 0.00154809204142314 0.00155501088853564
390-399 0.00054 0.000911558107072618 0.000788748570825643 0.000776640588378758
405-414 0.000164 0.000276753884500226 0.000288861866947111 0.000273294460943973
420-429 3.8e-05 6.57290475688036e-05 5.36210651219187e-05 6.57290475688036e-05
435-444 1e-06 1.72971177812641e-06 1.72971177812641e-06 5.18913533437923e-06
