quintile n_mutations mean_KC
1 0 33.9033237777405
1 1 48.6008895473967
1 2 60.2681259400794
1 3 70.7294314051677
1 4 79.7026469566567
1 5 87.4636876960843
1 6 94.2303360075355
1 7 100.20971661023
1 8 105.815217717161
1 9 110.551957657721
1 10 114.616511139444
1 11 118.422051068962
1 12 121.174958199871
1 13 124.081917032029
1 14 126.498407973978
1 15 128.769244162755
1 16 130.498477200601
1 17 132.813989459271
1 18 134.365810055707
1 19 135.922690351625
1 20 136.881557230047
2 0 91.6819607707657
2 1 102.20392819513
2 2 109.675555089224
2 3 115.71630957975
2 4 120.18848331029
2 5 123.89020445354
2 6 126.938201486658
2 7 129.769034450416
2 8 131.665258431186
2 9 133.421876938794
2 10 135.290313739055
2 11 136.359952796003
2 12 137.87742299907
2 13 139.024843842424
2 14 139.293564849114
2 15 139.887697174539
2 16 140.998514824291
2 17 141.620545925327
2 18 142.870411072727
2 19 143.047958880719
2 20 143.798547539773
3 0 146.541164749449
3 1 152.343448741064
3 2 154.564865095946
3 3 155.586740293639
3 4 154.958829407104
3 5 154.70282255208
3 6 154.474471754954
3 7 153.030868577085
3 8 151.624714069056
3 9 150.867239393766
3 10 150.453044192005
3 11 150.20629189332
3 12 149.834172639569
3 13 150.406771410307
3 14 150.044982824098
3 15 149.488633332515
3 16 148.961661676755
3 17 148.332782290138
3 18 148.278546285542
3 19 147.80258230077
3 20 148.043523598963
4 0 196.024429976026
4 1 192.139074754142
4 2 187.644761722086
4 3 183.438042956818
4 4 179.511920220097
4 5 175.854285448934
4 6 172.751510995502
4 7 169.367474014644
4 8 166.634828605994
4 9 164.266202669057
4 10 162.169508275225
4 11 160.190228767447
4 12 158.218725079938
4 13 156.984146987591
4 14 156.093704483699
4 15 154.996202994371
4 16 153.99489951008
4 17 153.45136967331
4 18 151.794786706676
4 19 151.622941078742
4 20 151.691590463398
5 0 268.812745801442
5 1 241.589136718727
5 2 223.973001703434
5 3 210.738979131235
5 4 200.93192213671
5 5 193.885988584938
5 6 187.627298801183
5 7 182.524809659187
5 8 177.637064505649
5 9 173.930298146385
5 10 170.524150742514
5 11 168.016692221849
5 12 166.143396006407
5 13 163.596903409863
5 14 161.342317815545
5 15 159.754705778637
5 16 158.472917240572
5 17 157.770190732502
5 18 156.45536465775
5 19 155.310478240883
5 20 154.138211399777
