file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,4,0,0,3,2,6,2,6,5,5,6,0,7	11111111111111111110000000000000000000011111111111	22.58
2	3,3,0,3,1,5,2,4,1,5,3,7,4,7,5	11111111111111111111111000000000000000000001111111	22.58
3	2,6,0,4,5,3,4,1,5,4,2,5,5,4,0	11111111111111111111111111111111111111111111111100	16.93
4	0,3,5,2,0,1,6,5,0,3,7,0,3,0,1	11111111111111111111111111111111111111111111111111	5.64
5	5,7,4,7,5,3,1,6,7,2,6,6,1,1,6	11111111100000000000000000000000000111111111111111	22.58
6	4,4,2,0,3,3,4,3,0,2,7,1,0,0,5	11111111111111111111111111111111111111111111111111	5.64
7	4,2,4,4,6,7,7,2,1,7,1,3,6,1,3	11111111111111111111111111110000000000000000000000	16.93
8	2,4,1,3,2,0,7,1,7,0,4,4,0,2,6	11111111111111111111111111111111111111111111111111	5.64
9	5,2,3,4,3,1,5,4,5,1,2,7,2,5,3	11111111111111111111111111111111111111110000000000	16.93
10	0,5,4,2,0,4,6,3,0,3,3,1,6,6,1	11111111111111111111111111111111111111111111111111	5.64
11	7,2,3,4,2,5,7,3,4,4,6,3,6,7,4	11111111111111111111111111111111111111111111111111	5.64
12	4,0,5,1,3,4,4,0,1,6,5,2,6,4,3	11111111111111111111111111111111111111111111111111	5.64
13	0,6,0,6,0,6,7,0,2,5,5,4,6,6,4	11111111111111111111111111111111111111111111111111	5.64
14	6,7,4,6,0,3,0,2,1,7,5,5,3,1,6	11111111111111000000000000000000000000000000000000	16.93
15	0,0,7,3,7,0,6,2,6,6,3,2,6,2,4	11111111111111111111100000000000000000000000000000	16.93
16	7,6,1,0,7,2,5,2,4,1,4,0,2,5,5	11111111111111111111111111111111111111111111111111	5.64
17	0,7,0,3,2,2,7,3,0,5,2,1,5,7,0	11111111111111111111111111111111111111111111111111	5.64
18	4,5,3,5,5,5,7,2,1,1,2,5,1,7,5	11111111111111111111111111111111111111111111111111	5.64
19	3,4,1,7,5,3,0,5,6,3,6,4,4,4,7	11111111000000000000000000000000000111111111111111	22.58
20	0,0,2,1,4,0,2,5,1,5,1,7,7,2,1	11111111111111111111111110000000000000000000000111	22.58
21	3,5,6,6,2,7,2,7,3,5,7,4,2,5,7	11111111111111111111110000000000000000000000000001	19.75
22	2,2,1,3,7,7,1,5,4,1,0,2,6,4,6	11111111111111111111110000000000000000000000000000	16.93
23	2,1,6,2,7,2,7,0,3,2,7,3,2,7,2	11111111111111111111111111111111111111111111111111	5.64
24	6,4,0,2,6,0,0,0,4,4,1,3,2,7,6	11111111111000000000000000000000000000000000000000	16.93
25	1,6,7,4,3,1,0,3,3,7,2,0,7,6,6	11111111111111111111000000000000000000000000000000	16.93
26	7,7,4,7,6,6,0,3,2,2,4,1,3,3,1	11111111111111111111111111111111111111111111111111	5.64
27	1,6,7,4,0,6,6,4,5,3,3,6,2,3,3	11111111111111111111111111111000000000000000000000	16.93
28	1,1,5,4,3,1,6,0,7,3,7,7,1,1,0	11111111111111111111111111111111111111111111111100	16.93
29	1,5,3,6,7,2,3,3,5,0,1,1,4,7,1	11111111111111111111111111111111111111111111111111	5.64
30	1,7,0,4,4,3,4,1,2,4,7,0,2,6,5	11111111111111111111111111111111111111111111111111	5.64
31	6,6,4,0,3,3,7,3,5,2,0,6,1,1,4	11111111111111111111100000000000000000000000000000	16.93
32	0,7,7,7,2,2,6,7,3,7,0,5,4,2,7	11111111111110000000000000000000000000000000011111	22.58
33	4,0,1,1,1,4,3,0,4,4,0,4,2,5,2	11111111111111111111111110000000000000000000000000	16.93
34	3,7,7,2,1,7,0,0,5,6,4,3,7,5,0	11111111111111111111111111111111111111111111110000	16.93
35	6,1,0,2,7,7,1,4,3,5,4,1,6,5,2	11111111111111111111111111111111111111111110000000	16.93
36	5,3,6,5,5,7,3,3,5,7,1,0,1,7,2	11111111111111111111111111111111111111111111111111	5.64
37	5,5,4,3,0,2,5,6,7,0,5,2,2,6,5	11111111111111111111111111111111111111111111111111	5.64
