file_number	genotype_raw	phenotype_binary	complexity_entropy
3	2,6,0,3,5,3,4,1,5,4,2,5,7,4,0	10101010101011010101010101011010101010101011010101	28.22
4	0,3,5,5,6,1,6,5,0,3,7,0,3,0,1	11111111111111000111111111111100011111111111111001	31.04
6	4,4,2,0,3,3,4,3,0,7,7,0,0,0,5	11000011111111000011111110000111111100001111111100	36.69
7	5,2,4,7,6,7,7,2,1,7,1,3,6,1,3	10100011100111000000000000000000000000000000000000	33.86
8	2,4,1,3,2,0,7,4,7,0,7,4,0,2,6	10011111111011111111001111111101111111100111111100	36.69
9	2,2,3,3,3,1,5,4,5,1,2,7,2,5,3	10110110110110110011011011011011001101101101101101	28.22
10	0,1,4,2,0,4,6,3,0,3,0,1,6,6,1	11111110111110111110011111011111001111101111101111	31.04
11	7,7,3,4,2,5,7,1,4,4,6,3,6,7,4	10010110110110100101101101001011011011010010110110	42.33
12	4,0,6,1,3,4,4,0,1,6,5,1,6,4,3	11001101110110011001101110110011011101100110011011	39.51
13	0,6,0,6,0,6,7,0,6,4,5,4,6,6,4	10010010100101101001011010010110100101101001010010	39.51
15	0,0,7,3,7,1,6,2,6,7,3,2,6,2,4	11010110101101010010100101011010110101001010110101	39.51
16	7,7,1,0,7,2,5,2,4,1,4,3,2,5,5	10011100111001110011101111011100111001110011100111	36.69
17	4,7,0,3,2,2,7,3,0,5,2,1,6,7,0	11111111111111111111111111001111111111111111111111	22.58
18	4,5,2,5,4,5,7,2,1,1,2,5,1,7,5	11001111001111001111101111101111101111101111101111	31.04
20	0,0,0,1,4,0,2,5,1,5,7,7,7,2,1	11011010010010110100100100101101001001011010010010	36.69
21	3,5,6,6,2,7,2,7,6,5,7,4,2,5,5	11111000011110000010000000000000000000000000000000	31.04
22	2,2,3,3,2,7,1,5,4,1,0,2,6,4,6	10110101010000000000000000000000000000000000000000	28.22
23	2,3,6,2,7,2,7,0,1,2,7,3,2,7,2	11111111111111011111111111111001111111111111101111	28.22
24	6,4,0,2,6,5,0,0,4,4,1,3,2,7,3	10110011011001000000000000000000000000000000000000	33.86
25	1,6,7,4,3,7,0,3,3,7,2,1,7,6,6	11011000110000000000000000000000000000000000000000	28.22
26	3,7,4,7,6,6,2,3,2,2,4,1,3,3,1	11100111011100111011100111001100111001100111001110	36.69
28	1,1,5,4,3,7,6,0,7,5,7,7,1,1,0	11101101011011011010110110101101101011011010110110	33.86
29	1,5,6,6,7,2,3,3,5,0,1,1,4,7,5	11001100110011001100110011001100110011001100110011	22.58
30	1,7,3,4,4,2,4,1,2,4,7,0,2,6,5	11111100011111100011111110001111110001111110001111	33.86
31	2,6,4,0,3,3,7,3,5,2,0,6,1,1,1	10111101111011111011110111101111101111011110011110	36.69
32	7,7,7,7,2,2,6,7,3,7,0,0,4,2,7	10011101010101101010100101010100000000000000000000	39.51
33	4,0,1,1,1,4,3,0,4,4,6,4,3,5,2	10100000000011111100000000000000000000000000000000	31.04
34	3,7,7,2,1,5,4,0,5,6,4,3,7,5,0	11010110101101011010110101101011010110101101011010	22.58
35	6,1,0,2,7,7,2,4,3,5,4,1,2,5,2	10011011010100000000000000000000000000000000000000	33.86
36	0,3,6,5,5,7,3,3,5,7,1,0,1,7,3	10011100111001100011001110011000110011100110001100	39.51
37	5,5,4,3,0,2,2,6,7,4,5,2,2,6,5	10101101101011011010110110100101101101011011010110	36.69
38	0,4,2,6,1,0,5,2,5,5,2,1,2,6,1	11001100111001100110011100110011100110011100110011	36.69
39	4,5,4,6,2,5,6,3,0,4,3,2,1,3,7	11011110111100111001110011100111101111001110011100	36.69
40	2,5,6,2,1,2,1,2,7,3,4,6,1,5,0	10101011010110101101010110101101011010100101011010	36.69
44	5,4,4,2,5,4,1,0,6,3,2,4,6,0,6	11010010100000000000000000000000000000000000000000	25.4
45	7,5,5,3,2,2,6,4,5,2,1,3,4,7,2	10110011011011011001101101101100110110110110011011	33.86
47	2,5,3,3,5,2,7,4,0,0,7,4,7,4,6	11111111111111111101111111111111111001111111111111	28.22
48	6,7,0,1,2,7,6,2,7,1,3,7,7,4,0	11010110101101001011010110100101101011010010110101	33.86
50	3,2,0,4,0,3,6,5,5,1,7,1,1,4,1	11111111110011111111111100111111111110011111111111	31.04
51	4,4,0,3,0,7,0,7,1,6,5,1,6,6,1	11010101010000000000000000000000000000000000000000	19.75
52	2,0,0,3,5,5,7,2,3,0,7,5,0,1,3	11011111111111111111111111100000000000000000000000	25.4
53	0,2,6,5,6,3,3,1,1,1,4,6,2,6,0	11111111110111111110111111110111111100111111100111	31.04
54	3,6,4,3,0,3,2,6,2,4,1,0,6,2,0	11101110011001100110011001100111011100110011001100	33.86
