file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,4,0,0,3,2,6,2,6,5,5,6,0,7	11110000111111100000111110000011110000011111000001	42.33
10	0,5,4,2,0,4,6,3,0,3,3,1,6,6,1	11111111111111111111111111111111111111111111111111	5.64
100	5,7,2,6,6,1,5,2,3,2,0,4,1,3,7	11111000000000001111111111111111111111111111111111	22.58
1000	6,3,5,6,6,5,6,7,6,5,2,1,3,0,7	11000000000000001111111111111111000000000000111111	31.04
10000	4,4,5,3,3,7,2,4,6,2,1,1,1,1,6	11100000000000000001111111111111111111111111111111	22.58
1001	0,7,0,2,0,0,3,7,2,7,0,0,1,1,1	11111111110000000000000000000000000000000011111111	22.58
1002	1,7,7,0,7,6,0,0,4,3,3,5,0,0,1	11111110000001111111111111111111111111111111111111	22.58
1003	6,1,7,0,7,7,0,0,3,1,7,6,3,4,2	11111111000011111111110000001111110000001111110000	36.69
1004	4,4,4,7,3,3,0,1,5,6,5,5,1,3,1	11100000111111111111111111111111111111111111111111	22.58
1005	5,7,3,4,0,7,2,4,3,5,7,1,1,5,5	11111111111000000000000011111111111111111111111111	22.58
1006	1,7,6,3,2,1,0,6,3,1,5,3,1,4,6	11111000000011111111111111111111110000000111111111	28.22
1007	2,7,3,2,5,5,0,6,3,4,6,5,5,5,7	11100001111111110000011110000011111000011111000001	42.33
1008	7,7,6,0,5,6,3,5,6,0,0,1,5,2,2	11111111111110000000000000001111111111111111111111	22.58
1009	7,7,4,5,0,0,0,3,6,7,5,2,3,3,7	11000000011111111111100000000011111111100000000011	36.69
101	0,7,2,2,5,5,4,4,0,1,6,0,3,4,7	11111111111111111111111111111111111111111111111111	5.64
1010	2,5,2,4,7,1,6,3,4,4,3,4,0,5,0	11111111111111111111111111100000000011111111111111	22.58
1011	2,1,4,1,0,3,6,0,2,2,2,6,4,0,1	11111100000111111111111000011111111111100001111111	31.04
1012	2,3,1,2,2,6,4,1,2,2,4,0,0,1,2	11111111111111111111111111111111111111000000000000	16.93
1013	6,3,3,2,0,6,0,1,1,7,0,5,5,6,4	11110000000011111111111111111111111110000000000000	25.4
1014	1,0,4,2,2,6,1,1,7,5,7,3,5,3,7	11000001111111100000111111000001111100000011111000	39.51
1015	0,3,6,0,0,3,5,1,3,5,1,7,0,5,7	11110000000111111111111111111111111111111110000001	28.22
1016	5,0,1,6,5,5,5,6,0,1,2,4,6,5,6	11111111111111111111111111111000000011111111111111	22.58
1017	1,0,5,2,7,2,2,1,3,7,2,0,5,1,4	11110000000000000000011111111000000001111111100000	31.04
1018	5,0,4,0,3,0,7,7,5,5,1,1,0,7,7	11111111000000000000000000000000111111111111111111	22.58
1019	2,1,5,5,1,4,5,1,6,2,0,2,1,5,4	11111110000000000000111111111111111111111111111111	22.58
102	1,6,6,7,4,4,7,0,0,6,7,6,7,4,4	11111111111111111111111111100001111111111111111111	22.58
1020	0,1,5,0,7,1,7,1,2,4,6,1,4,6,2	11111111111111111111111111111111111111111111111111	5.64
1021	6,0,4,5,1,7,2,5,3,4,0,0,0,2,5	11111000000000000000000000000000000001111111111111	22.58
1022	4,7,6,6,5,1,5,0,3,2,1,3,6,6,3	11111111111110000000011111111111111111111000000001	28.22
1023	2,1,5,6,4,4,4,4,5,3,0,4,6,3,6	11100000000111111111111111111111111111110000000000	25.4
1024	4,6,5,7,2,0,4,0,4,5,6,5,0,7,6	11111000000001111111111111111111111111111111111111	22.58
1025	6,2,5,5,4,4,2,6,4,2,7,6,2,4,1	11111111111000001111111111111111111111100000011111	28.22
1026	0,2,0,4,7,5,2,5,6,1,0,5,4,7,4	11111000000011111111111111111111111111111111100000	28.22
1027	2,7,4,1,7,3,5,5,3,4,4,7,0,3,4	11111100000111111111111111111111111111111111111111	22.58
1028	1,4,3,3,2,1,5,3,6,0,6,5,4,0,6	11111000000111111111111000000111111111111100000011	33.86
1029	0,6,7,1,0,6,7,5,4,6,1,6,3,1,3	11110000111111111111000011111110000011111110000011	36.69
103	4,3,7,3,2,1,4,5,6,4,1,0,1,6,5	11111111110000000000000000000000000000000111111111	22.58
1030	5,7,5,2,4,1,5,3,0,3,2,7,6,1,5	11111110000011111111111111000001111111111111100000	25.4
1031	5,5,6,4,1,2,1,0,3,5,5,2,0,2,4	11110000000000011111111111111111111111111111111111	22.58
1032	2,5,1,7,4,1,4,0,2,4,4,3,3,7,5	11111111111100000000011111111111111111111111100000	28.22
1033	4,4,6,7,4,5,0,7,2,7,2,4,4,6,1	11110000001111111111111000000000111111110000000011	39.51
1034	7,0,0,3,0,3,5,5,3,5,3,7,4,1,7	11000011111111111000000000011111111110000000001111	36.69
1035	2,5,5,3,4,0,3,6,6,4,2,1,4,0,1	11111000000000000001111111111111000000000000001111	28.22
1036	5,0,0,3,1,0,4,6,7,6,2,7,7,7,2	11100000111111111111000000011111111000000011111111	33.86
1037	7,7,0,7,0,6,4,3,0,2,1,4,2,2,6	11111110000000011111111111111111111111100000000000	25.4
1038	0,6,6,4,2,5,5,0,1,0,2,7,0,4,6	11111111111111111111000000111111111111111111111111	22.58
1039	5,7,4,1,6,0,0,1,7,3,6,3,1,6,2	11111000000000011111111111111111111111111111111111	22.58
104	2,4,3,7,6,4,7,7,2,7,7,1,2,0,0	11111111111111111111111110000000000000000111111111	22.58
1040	6,7,4,4,7,3,0,3,7,0,1,2,3,5,2	11111110000000000011111111111111111111111110000000	28.22
1041	5,4,4,0,0,7,3,2,5,5,2,6,6,7,1	11111110000111111111100001111111110000111111111100	33.86
1042	6,7,6,7,0,6,5,4,2,0,7,4,3,2,7	11111111111111111111111110000001111111111111111111	22.58
1043	3,4,6,7,1,5,0,1,4,3,7,5,2,2,4	11100001111111111111111111111111111111111111111111	22.58
1044	6,1,7,6,5,5,6,2,4,5,7,0,7,4,3	11111111111111111111111111111111111111111111111000	16.93
