file_number	genotype_raw	phenotype_binary	complexity_entropy
8	6,3,1,3,2,4,0,5,0,1,4,7,0,2,5	11111000000011111111111111111111111111111111111111	22.58
18	4,5,7,5,5,5,6,6,1,0,2,3,0,6,0	11111111111111111111111111111111111111111111111111	5.64
31	6,6,4,4,5,7,4,0,5,0,3,6,2,1,4	11111100000011111111111111111111111111100000011111	28.22
33	4,0,1,6,5,1,7,1,1,7,6,4,4,0,2	11100000001111111111111000000011111110000000111111	31.04
36	0,3,6,2,1,4,7,5,5,0,7,7,5,7,0	11111111111111111111111111111111111111111111111111	5.64
37	3,5,4,2,0,2,5,3,2,0,4,5,2,6,3	11111111111111111111111111111111111111111111111111	5.64
43	7,0,1,0,4,4,5,7,1,6,0,4,5,1,6	11100000000111111111111111111111111111111111110000	28.22
45	4,5,4,3,2,7,4,1,1,2,5,3,0,6,0	11111111111111111111111111111111111111111111111111	5.64
46	6,5,7,6,1,6,5,2,2,4,1,1,1,1,1	11111111111100000000000000011111111111111111111111	22.58
54	6,7,3,4,2,1,4,6,4,4,5,2,6,2,5	11111100000000011111111111000000000111111111100000	31.04
63	3,0,2,2,1,7,4,4,5,0,7,5,3,5,7	11111111111111111000000111111111111111111111100000	25.4
71	5,0,1,3,3,3,7,2,4,6,3,6,0,5,3	11111000000011111111111111111111111111111111111111	22.58
78	7,0,0,5,5,4,2,2,6,7,3,4,0,4,7	11111111111111111111111111111111111111111111111111	5.64
83	5,7,2,6,7,3,0,7,1,1,3,7,4,6,7	11110000011111111111111000000111111100000011111110	36.69
84	1,6,4,4,1,5,6,1,2,5,3,5,1,2,1	11111111110000001111111111111111111111110000011111	28.22
91	0,2,3,6,3,0,7,4,6,2,0,3,5,0,5	11100000000001111111111111111111111111111110000001	31.04
94	6,2,1,2,6,3,3,6,5,6,0,4,0,0,5	11000000000000000111111111111111111111111111111111	22.58
114	4,7,1,5,5,1,4,5,3,0,0,2,1,0,5	11111100000000000000000111111111111111111111111111	22.58
115	2,3,1,0,5,2,7,7,1,6,6,2,2,5,5	11111111111111111111111111110000000000000111111111	22.58
118	7,5,0,3,3,3,2,5,1,4,0,6,4,3,4	11100000001111111111111111111111111111111110000000	25.4
126	7,5,4,0,0,7,0,2,7,1,0,7,6,1,3	11100000000000000000000000000011111111111111111100	28.22
128	4,1,2,0,2,1,5,5,4,4,5,2,4,6,3	11111111111111111000000000001111111111111111111111	22.58
129	2,0,4,4,6,3,2,2,2,1,6,0,1,1,6	11111111111111111111100000000000000000000000000000	16.93
131	2,1,1,1,1,1,7,4,2,2,5,7,5,0,6	11100000111111111111100001111111111111000011111111	31.04
133	2,4,0,4,1,2,6,2,6,3,5,2,1,0,6	11100000000000111111111111111111111111111111111111	22.58
134	6,6,3,2,5,2,4,7,3,7,5,0,6,3,4	11111111111111111000000000000000000000011111111111	22.58
170	5,6,1,4,1,6,3,6,0,2,3,2,7,5,1	11111111111111111111111111111111111111111111111111	5.64
174	4,3,7,0,2,4,3,5,4,5,2,1,0,0,5	11110000000000000000011111111111111111111111111111	22.58
176	0,2,6,1,5,7,0,0,3,4,4,1,4,4,0	11111111111111111110000000111111111100000001111111	28.22
178	4,0,0,0,1,0,5,2,7,5,1,5,1,0,4	11000000001111111111111111111111111111000000000000	25.4
185	7,2,6,6,1,0,5,6,2,7,0,7,0,7,2	11111000000000001111111111111111111111111111111111	22.58
189	2,0,1,5,2,1,2,5,0,6,0,2,1,6,6	11111110000000000000001111111111111111111111111111	22.58
191	5,6,7,2,6,6,6,0,1,6,7,4,5,7,5	11111111111111111111111000000111111111111111111111	22.58
193	5,6,6,4,3,4,7,0,3,5,5,0,5,6,6	11111111111111111111111111111111111111111100000000	16.93
194	4,3,1,5,3,7,4,0,0,6,7,0,1,6,7	11111111111111111111111111111111111111111111111111	5.64
196	6,3,6,2,6,7,7,3,4,0,4,7,0,5,0	11111111111111111111111111111111111111111111111111	5.64
197	1,1,0,7,0,0,5,2,2,7,4,0,4,1,0	11111111111111111111111111111111111111111111000000	16.93
198	4,7,4,0,7,1,5,6,3,7,7,6,5,3,5	11111100000011111111111110000001111111111111100000	31.04
202	2,2,1,1,4,2,5,4,7,2,2,6,7,6,7	11110000001111111111111000001111111111111100000111	33.86
203	4,5,0,1,3,2,5,5,5,7,1,6,4,6,2	11110000000111111111111111111111100000011111110000	33.86
