file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,4,0,0,3,2,6,2,6,5,5,6,0,7	11111111111111111110000000000000000000011111111111	22.58
9	5,2,3,4,3,1,5,4,5,1,2,7,2,5,3	11111111111111111111111111111111111111110000000000	16.93
32	0,7,7,7,2,2,6,7,3,7,0,5,4,2,7	11111111111110000000000000000000000000000000011111	22.58
66	2,0,7,0,0,5,5,0,5,6,4,6,7,5,5	11111111111111111111000000000000000011111111111111	22.58
91	2,3,7,2,0,4,1,1,6,2,0,3,0,0,6	11111111110000000000000000000000000000000000000000	16.93
113	7,3,5,2,7,0,0,7,7,4,7,6,7,1,0	11111111111111111000000000000000000001111111111111	22.58
139	2,1,4,5,1,7,6,1,3,7,0,5,5,1,0	11111111111111111111111111100000000000000000000000	16.93
182	2,1,0,2,1,0,2,0,7,6,5,6,2,2,6	11111110000000000000000000000111111111111111111111	22.58
215	1,1,2,3,4,7,0,1,3,1,4,6,2,1,4	11111111111110000000000000000000000001111111111111	22.58
252	0,4,6,5,3,2,6,2,3,7,0,7,2,1,4	11111111111110000000000000000000000000000000000111	22.58
279	3,3,4,2,0,6,5,1,1,4,1,7,4,2,4	11111111111111111111111110000000000000000000111111	22.58
283	7,0,5,0,0,6,1,7,6,3,5,6,0,0,2	11111111111000000000000000000000000000000001111111	22.58
284	1,6,7,6,2,4,0,0,0,2,4,7,6,7,6	11111111111111111111111111111111111111000000000000	16.93
303	0,2,6,5,1,4,3,3,5,5,3,3,6,1,6	11111111111000000000000000000000000000111111111111	22.58
384	1,4,7,3,4,4,3,6,3,3,4,7,6,2,2	11111111111111111111111111100000000000000000111111	22.58
408	4,4,1,4,4,6,3,2,7,7,4,7,5,2,4	11111111000000000000000000000111111111111111111111	22.58
409	5,3,7,6,4,5,0,3,7,7,4,6,1,4,6	11111100000000000000000000000000111111111111111111	22.58
411	0,6,6,2,7,5,0,4,4,5,4,6,7,3,5	11111111111100000000000000001111111111111111111111	22.58
422	3,0,3,6,7,2,5,0,5,4,7,7,4,0,7	11111000000000000000000000111111111111111111111111	22.58
432	2,2,0,4,4,0,0,0,3,4,1,5,4,3,6	11111111000000000000000000000000000000111111111111	22.58
472	2,0,5,4,0,4,1,0,1,6,4,6,0,7,7	11111111111111111100000000000000000000000000011111	22.58
475	7,1,0,1,3,0,5,1,4,2,2,6,3,0,6	11111111100000000000000000000000000011111111111111	22.58
525	1,7,1,6,3,6,2,3,4,5,3,7,6,5,7	11111111111100000000000000000001111111111111111111	22.58
548	2,7,1,4,4,6,7,2,6,6,0,4,5,0,7	11111111100000000000000000000000000000000000000001	19.75
550	6,0,0,6,4,2,0,2,5,3,3,6,2,7,5	11111110000000000000000000000000000000111111111111	22.58
587	3,4,4,7,7,1,0,5,3,4,2,7,2,5,4	11111111111000000000000000000000000011111111111111	22.58
606	3,6,4,3,2,6,0,2,7,5,1,3,6,2,4	11111111111000000000000000000000000000000111111111	22.58
617	2,7,4,4,1,5,0,3,6,5,5,5,5,2,5	11111111110000000000000000000111111111111111111111	22.58
646	5,7,6,3,6,5,4,3,6,5,7,7,3,1,7	11111111110000000000000000000000111111111111111111	22.58
648	6,7,1,5,0,6,3,4,7,3,1,1,0,0,6	11111111111000000000000000000000000000000000000000	16.93
650	3,2,4,7,2,0,0,6,7,3,1,5,5,4,6	11111110000000000000000000000000000011111111111111	22.58
657	0,0,0,6,0,3,0,6,1,6,3,4,1,1,7	11111111100000000000000000000000000000000000000111	22.58
748	6,0,2,2,2,7,6,0,7,1,7,6,2,0,6	11111111111100000000000000000000000000111111111111	22.58
750	5,6,7,5,4,2,2,5,4,7,2,6,5,3,1	11111111111111111110000000000000000000000011111111	22.58
788	4,6,1,2,7,4,7,4,0,6,0,6,7,0,6	11111111111111111110000000000000000000000000000001	19.75
840	0,1,5,2,5,4,1,2,1,6,7,7,4,5,5	11111111111111111111111000000000000000011111111111	22.58
853	0,7,6,7,0,6,3,2,7,3,4,5,7,0,4	11111111111000000000000000001111111111111111111111	22.58
888	3,1,3,5,2,4,1,4,7,6,0,5,7,1,7	11111000000000000000000000000000000111111111111111	22.58
935	5,4,5,5,5,7,2,2,7,3,0,6,5,1,5	11111111000000000000000000000000000000011111111111	22.58
950	3,3,2,3,0,2,1,4,3,2,7,7,3,4,6	11111111111111111100000000000000000011111111111111	22.58
1014	1,0,4,2,2,6,1,1,7,5,7,3,5,3,7	11111111100000000000000000000000001111111111111111	22.58
1034	7,0,0,3,0,3,5,5,3,5,3,7,4,1,7	11111100000000000000000000000001111111111111111111	22.58
1070	0,2,3,5,3,0,7,6,6,3,0,4,6,1,4	11111111111111110000000000000000000000000000000000	16.93
1079	6,2,0,2,0,7,3,3,0,6,0,5,2,0,7	11111111111111000000000000000000000000000000000000	16.93
1114	5,5,4,4,7,7,2,2,7,3,6,7,7,7,6	11111111111111110000000000000000001111111111111111	22.58
1128	7,2,5,4,2,1,0,0,1,7,7,2,5,1,3	11111111111111111000000000000000000000000000000000	16.93
1129	4,4,5,4,6,6,0,2,5,7,5,7,7,3,3	11111111110000000000000000000000000000011111111111	22.58
1153	6,0,6,1,2,5,4,0,5,6,4,5,7,6,3	11111111111111111111111110000000000000000000000111	22.58
1183	5,1,6,2,7,4,3,5,6,3,0,5,5,3,7	11111111111000000000000000000000000000000000000111	22.58
1312	2,0,2,2,6,4,1,1,5,6,7,7,3,0,6	11111100000000000000000000011111111111111111111111	22.58
1313	3,0,2,0,6,4,4,2,5,6,4,7,4,5,7	11111111111110000000000000000000000011111111111111	22.58
1321	3,2,3,6,6,6,6,5,7,7,2,7,0,2,5	11111111100000000000000000000000000000000001111111	22.58
1355	4,2,2,5,2,3,3,1,5,4,7,7,3,6,4	11111111111111111111110000000000000000000001111111	22.58
1369	6,4,7,6,2,4,0,4,7,7,6,7,3,4,1	11111111111000000000000000000011111111111111111111	22.58
1384	6,3,1,3,6,7,1,6,6,5,6,2,7,3,6	11111111111100000000000000000000000000000000000111	22.58
1400	1,4,4,3,6,3,1,7,1,3,0,5,4,0,2	11111111111111111100000000000000000000000000000001	19.75
1411	4,2,7,3,6,2,3,4,6,0,1,4,7,1,4	11111111111111111111111110000000000000000000000000	16.93
1423	3,2,6,7,0,1,2,4,3,6,4,4,3,2,6	11111111111100000000000000000000000000001111111111	22.58
1432	1,6,6,1,3,6,3,5,3,4,7,7,7,2,5	11111111111111111111111100000000000000011111111111	22.58
1440	0,0,7,4,7,7,0,0,2,6,4,7,4,3,7	11111111000000000000000000111111111111111111111111	22.58
1447	1,0,4,1,2,5,5,5,4,6,3,6,7,5,4	11111111111111111111110000000000000000000111111111	22.58
1451	0,4,1,7,6,1,0,2,7,0,3,7,7,2,2	11111111111111111000000000000000000000011111111111	22.58
1452	2,5,6,6,3,6,6,7,7,2,4,7,7,6,6	11111111111111111111111111100000000000000000011111	22.58
1500	4,3,4,5,1,4,1,6,5,2,5,7,6,5,5	11111111111111110000000000000000111111111111111111	22.58
1518	0,3,0,6,6,6,2,0,3,7,1,6,1,1,1	11111111111111000000000000000000000000000000000111	22.58
1532	6,2,2,4,6,7,6,3,2,5,1,5,5,1,4	11111111111111110000000000000000000000000000000001	19.75
1551	1,5,6,0,7,4,2,7,2,7,5,7,1,4,5	11111111111111111111111111100000000000000000000011	22.58
1572	3,7,4,6,1,6,3,0,1,5,2,5,6,3,7	11111111111111111111100000000000000000000001111111	22.58
1586	0,0,6,3,1,5,1,6,3,7,4,7,4,4,3	11111111111110000000000000000111111111111111111111	22.58
1591	6,1,1,6,4,6,2,5,6,2,7,4,7,5,7	11111111111111111111000000000000000000000000000001	19.75
1598	6,6,3,4,3,0,1,1,7,6,0,6,2,7,2	11111111111110000000000000000000000000000000000000	16.93
1600	1,1,6,5,6,6,4,7,3,7,3,6,4,1,0	11111111111111111111111111110000000000000000000001	19.75
1606	3,4,3,4,5,6,3,0,5,0,0,7,6,1,3	11111111111111111111110000000000000000000000000001	19.75
1622	4,1,0,7,4,6,7,5,4,6,6,6,2,2,0	11111111111111111111111111111111111111111000000000	16.93
1697	5,0,5,5,7,4,0,4,6,5,2,4,2,5,4	11111111000000000000000000000000000000000011111111	22.58
1760	1,2,6,3,5,5,3,7,2,4,3,7,6,6,4	11111111111111111111111111111100000000000000000111	22.58
1811	7,7,3,4,3,3,5,3,4,1,0,6,5,0,3	11111111111111111000000000000000000000000000000001	19.75
1824	1,0,0,1,7,4,4,0,6,3,0,7,3,1,1	11111111111111100000000000000000000000000000000111	22.58
1856	4,7,1,4,4,1,0,7,1,5,2,7,0,4,7	11111111111100000000000000000000000000000000000001	19.75
1923	6,3,1,6,1,5,7,4,5,3,0,6,2,1,7	11111111110000000000000000000000000000000000000001	19.75
1935	7,3,6,0,4,3,2,6,1,2,3,6,3,0,5	11111111111111111111110000000000000000000000001111	22.58
1951	1,2,7,7,7,2,3,6,1,5,5,4,5,0,6	11111111111111000000000000000000000000000011111111	22.58
1967	5,5,2,7,1,6,2,6,5,5,0,4,5,1,6	11111111000000000000000000000000000000000000111111	22.58
1974	0,4,1,4,7,1,4,5,5,3,1,6,5,7,6	11111111111111111111100000000000000000000000000001	19.75
2015	6,2,0,6,5,2,6,1,5,6,7,4,4,1,7	11111100000000000000000000000011111111111111111111	22.58
2042	1,6,4,6,0,4,7,6,7,3,4,7,6,2,2	11111111111111111111111111000000000000000011111111	22.58
2072	5,3,3,7,7,4,3,3,7,3,6,7,5,3,5	11111111111110000000000000000000000111111111111111	22.58
2073	0,7,1,4,1,7,0,5,2,7,4,3,4,3,7	11111111111111100000000000000000000000000111111111	22.58
2093	1,4,7,5,1,7,2,7,3,1,7,6,6,3,7	11111111111111111111111111111100000000000000001111	22.58
2119	4,2,0,7,5,3,3,1,6,2,1,2,0,0,7	11111111111111111111111111111111111111111111111111	5.64
2133	0,2,7,6,0,2,1,5,3,1,3,7,1,1,4	11111111111111110000000000000000000000011111111111	22.58
2200	1,2,7,5,6,2,0,0,7,2,7,2,6,6,7	11111111111111110000000000000000000000000000000011	22.58
2206	4,0,3,2,6,6,2,6,5,4,2,7,4,4,2	11111111111111100000000000000000000000111111111111	22.58
2296	2,5,4,5,3,1,0,7,4,4,2,7,4,4,0	11111111111111111111100000000000000000000111111111	22.58
2311	6,6,1,3,3,2,4,0,5,5,4,6,4,7,7	11111111111111111000000000000000000000000000011111	22.58
2323	5,6,5,5,0,1,6,3,3,3,2,6,7,1,2	11111111111111111111111111000000000000000000000111	22.58
2340	1,3,2,7,3,4,3,2,3,5,4,6,2,6,4	11111111111111111111111110000000000000000000000001	19.75
2381	0,0,6,1,1,0,5,7,4,6,7,7,5,0,0	11111111111111111111111111110000000000000000000111	22.58
2389	7,0,7,4,1,6,4,3,5,6,0,7,6,2,3	11111111110000000000000000000000000011111111111111	22.58
