file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,4,0,0,3,2,6,2,6,5,5,6,0,7	11001111001100011000110001100111001110011100110001	42.33
2	3,3,0,3,1,5,2,4,1,5,3,7,4,7,5	11001111111000111000011100001110001111000111000000	45.15
3	2,6,0,4,5,3,4,1,5,4,2,5,5,4,0	11110000111111111000111111111000111111111000011111	33.86
4	0,3,5,2,0,1,6,5,0,3,7,0,3,0,1	11111111111111111111111111111111111111111111111111	5.64
5	5,7,4,7,5,3,1,6,7,2,6,6,1,1,6	10001111111111111111111111111111111111111111111111	19.75
6	4,4,2,0,3,3,4,3,0,2,7,1,0,0,5	11111111111111000000000011111111111111111111111111	22.58
7	4,2,4,4,6,7,7,2,1,7,1,3,6,1,3	11100001111111100000111111110000111111111000011111	36.69
8	2,4,1,3,2,0,7,1,7,0,4,4,0,2,6	11111000001111111111111111111111111111111111111111	22.58
9	5,2,3,4,3,1,5,4,5,1,2,7,2,5,3	11110001111111111111110001111111111111110001111111	28.22
10	0,5,4,2,0,4,6,3,0,3,3,1,6,6,1	11111111111111111111111111111111111111111111111111	5.64
11	7,2,3,4,2,5,7,3,4,4,6,3,6,7,4	11111111000011111111110000111111111100001111111111	25.4
12	4,0,5,1,3,4,4,0,1,6,5,2,6,4,3	11111111100001111111110000011111111100001111111111	28.22
13	0,6,0,6,0,6,7,0,2,5,5,4,6,6,4	11111111001111111100011111110001111111100011111110	36.69
14	6,7,4,6,0,3,0,2,1,7,5,5,3,1,6	11000011111100000011111000000101000000000000000000	42.33
15	0,0,7,3,7,0,6,2,6,6,3,2,6,2,4	11000001111000001111000001111000011111000011111000	31.04
16	7,6,1,0,7,2,5,2,4,1,4,0,2,5,5	11111111111111111111111111111110000000000000000111	22.58
17	0,7,0,3,2,2,7,3,0,5,2,1,5,7,0	11111111111111111111111111111111111111111111111111	5.64
18	4,5,3,5,5,5,7,2,1,1,2,5,1,7,5	11111111111111000011111111111111111111111111000011	28.22
19	3,4,1,7,5,3,0,5,6,3,6,4,4,4,7	10001111110000111100001111000000000000000000000000	33.86
20	0,0,2,1,4,0,2,5,1,5,1,7,7,2,1	11000111111000111111000111111000111111000111111000	25.4
21	3,5,6,6,2,7,2,7,3,5,7,4,2,5,7	11000111111110011110011100011100111000111000110001	47.97
22	2,2,1,3,7,7,1,5,4,1,0,2,6,4,6	11000000111111111111111000000011111110000000111111	33.86
23	2,1,6,2,7,2,7,0,3,2,7,3,2,7,2	11111111111111111111111111111111111000001111111111	22.58
24	6,4,0,2,6,0,0,0,4,4,1,3,2,7,6	10000011111111111110000000001111111100000000011111	33.86
25	1,6,7,4,3,1,0,3,3,7,2,0,7,6,6	11000000111000000111100000011100000011100000011100	33.86
26	7,7,4,7,6,6,0,3,2,2,4,1,3,3,1	11111110000011111110000111100001111100001111000011	39.51
27	1,6,7,4,0,6,6,4,5,3,3,6,2,3,3	11100111111001111100111111001111100111111001111100	31.04
28	1,1,5,4,3,1,6,0,7,3,7,7,1,1,0	11110001111111111111100011111111111110001111111111	33.86
29	1,5,3,6,7,2,3,3,5,0,1,1,4,7,1	11111111111111111111111111111000000011111111111111	22.58
30	1,7,0,4,4,3,4,1,2,4,7,0,2,6,5	11111111111111111111111111111100000000000000011111	22.58
31	6,6,4,0,3,3,7,3,5,2,0,6,1,1,4	11000011111111111111111111111111111000011111110000	33.86
32	0,7,7,7,2,2,6,7,3,7,0,5,4,2,7	10000111111111111000111111111110000111111111110001	33.86
33	4,0,1,1,1,4,3,0,4,4,0,4,2,5,2	11000001111111111111111110000000000011111111111000	33.86
34	3,7,7,2,1,7,0,0,5,6,4,3,7,5,0	11111001111001110001110001110001110001110001110001	31.04
35	6,1,0,2,7,7,1,4,3,5,4,1,6,5,2	11110000001111000011100011110001110000111000000000	42.33
36	5,3,6,5,5,7,3,3,5,7,1,0,1,7,2	11111100000000000000111111111111111111000000000000	28.22
37	5,5,4,3,0,2,5,6,7,0,5,2,2,6,5	11111111111111111100000011111111111111111111100000	25.4
38	0,4,2,7,1,0,5,2,5,5,2,1,2,6,3	11111100000001111111111100000000111111111110000000	28.22
39	4,2,4,6,2,5,6,3,0,4,3,7,1,3,7	11110001111111111111100011100001110001111000111000	42.33
40	2,5,6,2,1,2,6,2,7,3,4,6,1,5,3	11100011111111111100011111111111100111111111111000	31.04
41	7,3,1,2,6,3,3,4,4,1,6,7,7,0,6	10011110001100111001100011000100000000000000000000	45.15
42	4,3,1,7,7,2,4,2,6,6,5,5,4,5,6	10000111111100001110000111000111100000000000000000	39.51
43	1,0,1,4,5,3,3,2,0,0,0,4,5,4,6	11111111100001111111111111111000011111111111111110	28.22
44	1,4,4,2,5,4,1,0,0,3,2,4,6,0,6	11000111110001111100011111000111110011111000111110	36.69
45	6,5,5,3,2,2,6,4,5,2,1,3,2,7,2	11111110000011111111111111110000011111111111111100	31.04
46	3,5,7,6,5,6,4,2,6,1,1,3,2,5,1	11111110000011111111111111000011111111111111000001	33.86
47	2,5,3,0,5,2,5,4,0,0,7,4,7,4,6	11111111111111111111111111111111111111111111111111	5.64
48	6,7,0,1,2,6,3,2,7,1,3,7,7,4,0	11111100111111100011111110011111110001111111001111	33.86
49	2,2,3,0,7,5,1,1,7,7,1,0,2,0,5	11111111111111111111110000000011111110000000011111	28.22
50	3,2,0,1,0,2,6,5,5,1,7,1,1,4,1	11111111111111111111111111111111111111111111111111	5.64
51	6,4,0,3,0,7,0,7,1,6,1,1,6,6,1	11111000000011111100000011111000000111110000001111	31.04
52	2,0,0,3,5,5,7,2,4,0,7,5,0,1,1	11111111111111111100001111111111111111111111111111	22.58
53	0,2,6,5,6,3,3,1,0,5,4,6,2,6,0	11111111111111111111111111111111110001111111111111	22.58
54	3,6,4,3,0,3,2,6,2,4,7,0,6,2,5	11111111100000000111111110000000111111111000000011	31.04
55	4,2,3,7,0,3,2,7,2,5,2,1,4,7,2	11111110000001111111110000001111111100000011111111	31.04
56	6,0,0,7,1,0,4,0,5,6,3,7,6,7,5	10001111000011110000111000011110000110000000000000	39.51
57	7,0,1,2,6,1,0,6,7,1,7,5,7,5,3	11001111001110011100111001000000000000000000000000	33.86
58	3,0,3,0,5,6,6,1,6,1,3,0,1,4,1	11111111111111111111111111111111111111111111111111	5.64
59	0,0,1,1,3,7,7,2,3,3,5,4,6,0,0	11111100011111110001111111000111111100011111110001	25.4
60	5,4,5,5,1,2,2,1,0,2,0,6,4,5,4	11110001111111111111000111111111111000111111111111	31.04
61	3,0,7,4,2,6,1,1,3,5,5,5,2,6,1	11100011111110001111000111100011110001111000111000	36.69
62	4,5,5,1,0,7,3,4,2,3,1,6,5,3,0	11111100111111100111111001111110011111100111111000	28.22
63	3,4,2,4,1,7,3,4,5,0,3,5,3,5,1	11111111111111000111111111111100011111111111111000	28.22
64	5,6,3,0,6,2,0,0,2,7,7,5,1,3,1	11111000111111111110000111110000111110000011110000	39.51
65	1,3,0,5,5,1,6,0,1,4,6,3,7,6,5	11111111111110000111111111111111000011111111111111	25.4
66	2,0,7,0,0,5,5,0,5,6,4,6,7,5,5	11001100111001110111001110011001110011001110011001	39.51
67	2,7,5,3,7,1,0,3,3,3,5,5,6,5,7	10001111000111100111110011110001111001111100111100	39.51
68	3,7,0,5,7,3,2,4,7,3,3,7,0,5,5	10000111111111111111111111111111111111111111111111	19.75
69	2,7,4,5,4,4,0,1,5,1,0,3,4,6,1	11100001111111111111100011110000111100011110000111	39.51
70	2,3,5,1,1,2,0,1,2,3,1,2,5,5,7	11000011111110000111111000111111100011111100001111	42.33
71	5,4,1,4,2,5,7,4,2,0,3,6,0,2,6	11111110000111111111111111111111111111111111111111	22.58
72	5,7,7,1,4,0,1,5,3,5,1,5,7,6,1	11100011111110001111111000111111100011111110001111	28.22
73	6,1,2,6,2,1,6,0,7,1,7,7,7,7,3	11111111000111111111100011111111110011111111111001	33.86
