file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,4,0,0,3,2,6,2,6,0,5,6,0,7	11100000011111111111111111111111110000000000000000	25.4
2	3,3,0,3,1,5,2,4,1,4,3,7,4,7,5	11111000011111111111110000001111110000001111110000	36.69
7	4,2,6,4,6,7,7,2,1,7,1,3,6,1,3	11111100000001111111111111111000000001111111111111	28.22
9	2,2,3,4,3,1,5,4,5,1,2,7,2,5,3	11111111000000111111111111111111111111110000001111	28.22
11	7,1,3,4,2,5,7,3,4,4,6,3,6,7,4	11111111111111111000000001111111111111111111100000	28.22
14	6,7,4,6,0,3,0,2,3,7,5,5,3,1,6	11000000001111111111110000000000001111111111110000	33.86
15	0,0,7,3,7,0,6,2,6,6,3,2,3,2,4	11110000000000011111111111111100000000000111111111	28.22
19	3,1,1,7,5,3,0,5,6,3,6,4,4,4,7	11000001111111111100000000011111111100000000011111	36.69
20	0,0,2,1,4,0,2,5,1,5,1,7,4,2,1	11111000001111111111111111110000011111111111111111	25.4
21	3,5,4,6,2,7,2,7,3,5,7,4,2,5,7	11110000001111111111111111000000111111000000111111	33.86
22	2,2,1,3,7,7,1,5,4,1,0,2,6,4,7	11110000000000011111111111111111111111111111110000	28.22
24	6,4,0,2,6,0,0,1,4,4,1,3,2,7,6	11000000000011111111111111111111111111100000000000	25.4
25	1,6,7,4,3,1,0,3,3,7,2,6,7,6,6	11000011111111111000011111111000111111000111110001	47.97
26	7,7,0,7,6,6,0,3,2,2,4,1,3,3,1	11111111111110000000000000011111111111111000000000	25.4
27	1,6,6,4,0,6,6,4,5,3,3,6,2,3,3	11111100001111111111110000111111111111000011111111	28.22
28	1,1,5,3,3,1,6,0,7,3,7,7,1,1,0	11111111100000011111111111111111111111111100000111	28.22
32	0,7,7,7,0,2,6,7,3,7,0,5,4,2,7	11100000011111111111111111100000011111111111100000	31.04
34	3,7,7,2,1,7,0,0,7,6,4,3,7,5,0	11111111000011111110000011111100000011111000000111	36.69
35	6,1,0,2,3,7,1,4,3,5,4,1,6,5,2	11111111100000000000111111100000001111111000000011	33.86
37	5,5,4,3,0,2,5,6,7,0,5,3,2,6,5	11111111111111111111111111100000000011111111111111	22.58
38	0,4,2,7,1,0,5,2,5,5,5,1,2,6,3	11111111111111111110000000000000001111111111111111	22.58
39	4,2,4,6,2,5,6,3,0,4,3,7,1,3,3	11111111111111000001111111111111111111111111111111	22.58
40	2,5,6,2,4,2,6,2,7,3,4,6,1,5,3	11111110000011111111111111111111111111111110000011	28.22
41	7,3,1,2,6,3,3,4,4,1,6,7,7,3,6	11111000011111111111110000011111111111100000111111	33.86
42	4,3,1,7,7,2,4,2,6,6,5,4,4,5,6	11100000000111111111111111000000111111100000011111	36.69
51	6,4,0,3,0,7,0,7,1,6,6,1,6,6,1	11111111111111111111110000000000011111111110000000	25.4
55	4,2,1,7,0,3,2,7,2,5,2,1,4,7,2	11111111111111100000000000111111111111111111110000	28.22
56	6,0,4,7,1,0,4,0,5,6,3,7,6,7,5	11100000111111111100000111111000000111111000001111	39.51
57	7,0,1,2,6,1,0,6,7,1,7,5,4,5,3	11100000011111111111110000000011111111000000001111	36.69
59	0,0,1,1,3,7,7,2,3,5,5,4,6,0,0	11111111100000111111111111000001111111111110000011	28.22
60	5,4,1,5,1,2,2,1,0,2,0,6,4,5,4	11111111000001111111111111111111111111111000000000	25.4
61	3,0,7,4,2,6,1,1,3,5,5,5,0,6,1	11111110000011111111111111111111111111111111111111	22.58
62	4,5,5,1,0,7,3,4,2,3,2,6,5,3,0	11111111111111110000111111111111100001111111111111	25.4
64	5,6,3,0,6,2,0,0,2,7,7,5,1,6,1	11111111111000000111111111111111111111111110000001	28.22
66	2,0,7,0,0,5,5,0,5,6,4,6,5,5,5	11110001111111100011111110000111111100011111110000	36.69
67	2,5,5,3,7,1,0,3,3,3,5,5,6,5,7	11100001111111111000011111111100000111111111000011	36.69
69	2,7,1,5,4,4,0,1,5,1,0,3,4,6,1	11111100000000111111111111111111111111111111100000	28.22
70	2,3,5,1,1,2,0,1,0,3,1,2,5,5,7	11111110000000111111111111100000001111111111110000	31.04
72	5,7,7,3,4,0,1,5,3,5,1,5,7,6,1	11111000000111111111111111000000111111111111110000	31.04
73	6,1,2,6,0,1,6,0,7,1,7,7,7,7,3	11111111111111110000011111111111111111110000111111	28.22
75	0,3,0,1,6,1,2,1,5,2,3,4,2,3,3	11111000000001111111111111111111111111100000000111	28.22
77	6,6,7,3,2,5,1,1,3,0,6,1,2,0,4	11111111110000000000001111111111111111111000000000	28.22
80	1,0,6,5,2,5,1,4,7,3,0,7,1,0,1	11000000000011111111111111111111111111111111111110	25.4
81	6,7,0,2,6,2,3,3,1,1,6,5,5,3,7	11111111110000001111111111111111111000000011111111	28.22
82	2,6,3,7,4,7,1,2,6,0,2,7,1,4,0	11111111111110000001111111111111111111111111111000	28.22
84	0,4,0,6,3,7,3,3,2,2,4,7,1,2,1	11111111100000111111111111111111111111111111100000	25.4
85	4,1,1,6,5,2,7,5,4,1,7,7,3,1,6	11111000001111111111111111111100000001111111000000	33.86
86	1,4,6,7,3,4,7,5,4,7,5,1,0,5,1	11111111111111111111111111111111111110000000000000	16.93
87	3,2,5,3,4,7,0,5,2,6,1,1,7,2,3	11111111111111111111111111100000000011111111110000	25.4
88	3,3,3,5,7,3,3,4,2,4,3,5,4,0,3	11100000011111111111111000000011111110000000111111	33.86
89	7,6,4,6,3,5,6,0,5,4,0,5,6,4,7	11100000001111111111111111111111111111111111000000	25.4
90	1,3,3,6,7,4,6,4,3,0,0,5,7,0,5	11111000000011111111111111111111111111100000111111	31.04
91	2,3,7,2,0,4,1,1,0,2,0,3,0,0,6	11110000000000000111111111111111111111111111111111	22.58
92	0,5,4,6,7,4,0,7,6,4,7,4,2,2,0	11111000001111111111111110000011111111111110000011	33.86
93	0,1,5,5,3,2,0,7,5,4,5,4,6,0,1	11000011111110000011111000011111000001111100001111	39.51
95	5,4,0,1,1,4,7,5,6,4,1,2,5,1,3	11110000000000001111111111111111000000011111111000	36.69
96	6,7,0,6,6,1,5,7,7,6,1,2,5,4,1	11111100000000000000111111111111111100000000111111	31.04
97	3,0,5,6,1,6,2,4,5,1,0,1,6,4,5	11111110000000000001111111111111111111100000000000	25.4
99	0,3,7,1,0,3,0,6,4,5,2,0,2,7,1	11111111111110000000000001111111111111000000000000	22.58
100	6,7,2,6,6,1,5,2,3,2,0,4,1,3,7	11110000000000001111111111111111111111111111111111	22.58
102	1,6,6,7,4,4,7,0,0,6,5,6,7,4,4	11111111111111111111100001111111111111111111110000	22.58
106	4,3,2,6,6,5,3,0,7,0,3,1,5,6,5	11111111111111111111111110000000000000011111111111	22.58
107	6,0,1,3,4,4,5,1,2,3,0,4,3,3,1	11111111000000000111111111111111111111111111111111	22.58
109	5,2,4,3,7,7,1,4,2,4,4,3,3,0,4	11100000001111111111111110000000000111111111100000	33.86
110	0,0,7,5,5,6,2,4,5,6,6,0,1,6,5	11111111111110000000000000000000001111111111111111	22.58
112	0,0,6,1,5,4,1,3,5,5,5,6,4,3,5	11000011111111110000111110001111100001111000011110	42.33
113	7,1,5,2,7,0,0,7,7,4,7,6,7,1,0	11100001111111000011110000011110000111110000111100	42.33
116	3,2,4,1,2,0,3,5,7,3,1,0,4,2,4	11111100000000000000000000000011111111111000000000	28.22
117	1,2,1,5,5,2,6,2,0,4,6,2,1,0,4	11111111111110000000000001111111111111111111111111	22.58
119	1,6,7,5,6,5,0,7,0,1,6,5,6,7,4	11111111111111111111111000111111111100001111111111	28.22
124	7,5,3,2,6,5,6,7,5,7,5,5,4,1,4	11100000011111111111111000001111100000111110000011	36.69
125	1,2,0,7,7,1,1,3,2,7,4,0,7,4,3	11111111111000000000000000000000111111000000011111	31.04
127	7,3,6,4,1,4,1,0,7,2,4,7,7,4,6	11000011111111000011110000011110000011110000011110	36.69
128	5,1,2,5,1,5,1,5,2,4,0,0,1,6,7	11111100000000000000000000000000000111111111111111	22.58
132	0,3,3,0,3,5,0,0,1,0,3,2,2,0,3	11111111100000000111111111111111000000011111111111	28.22
134	6,1,3,2,5,6,7,6,0,6,5,4,4,4,3	11111111111111111111111111111000000011111111111111	22.58
136	5,4,3,3,7,5,6,4,0,3,0,7,2,3,3	11111111100000011111111111111111111111111111111111	22.58
137	7,1,4,4,7,6,3,3,6,6,7,3,3,3,1	11111110000000011111111111111100000011111100000011	39.51
138	7,0,4,2,1,1,4,4,4,1,3,1,3,0,2	11111111000000000000000111111111111110000000111111	31.04
139	2,1,4,5,1,6,6,1,3,7,0,5,5,1,0	11111000000111111111111111111111100000001111110000	33.86
140	1,5,2,2,6,3,6,3,6,7,3,5,5,5,4	11110000001111111111111000000111111111111000000111	33.86
143	2,6,3,0,7,0,1,4,3,1,5,4,4,3,0	11111111111111111111111111111111111100000001111111	22.58
145	0,6,7,1,0,1,4,1,1,1,2,7,4,4,6	11111111111000001111111100000111111100000111111110	33.86
146	3,6,4,2,1,2,1,2,0,3,5,3,3,1,5	11111111000000011111111111111000000011111111111111	25.4
147	0,6,3,3,6,3,7,4,3,3,1,2,7,2,3	11111111100000000011111111111111000000000111111111	28.22
149	2,5,4,4,6,1,3,1,6,5,3,3,6,4,1	11111110000000011111111111100000001111111111111000	33.86
150	1,1,3,1,1,4,1,6,6,1,7,7,6,2,4	11100001111110000111111000111111100011111110001111	33.86
151	4,6,1,1,6,4,3,4,5,6,3,2,3,1,3	11110000000000011111111111111111000000011111111000	36.69
152	7,5,3,5,6,4,7,4,2,2,1,7,2,4,4	11111110000001111111111111111111111111111111111110	25.4
153	1,7,4,5,6,4,2,5,4,4,2,4,4,1,4	11100000011111111111111111000000111111111111111110	28.22
156	6,2,2,1,0,5,5,7,7,5,4,5,1,6,1	11111111000000111111111111111111111111111111100000	25.4
158	7,6,2,0,1,7,6,6,3,5,0,2,0,4,6	11111100000000000000001111111111111111111111111111	22.58
159	4,7,3,3,0,7,1,5,0,5,5,3,2,3,1	11111111111111111111111100000011111111111111110000	25.4
160	5,3,6,6,5,7,1,7,3,5,1,6,5,5,5	11000001111111111111111110000000000111111111110000	33.86
162	3,7,6,5,4,3,4,7,4,7,0,2,6,2,2	11110000000000001111111111111111111111111111110000	28.22
166	1,2,6,3,6,1,6,4,4,3,6,3,6,4,3	11111111111111111000000011111111111111111111000000	25.4
167	0,5,6,4,4,7,3,0,0,2,6,6,5,2,5	11111111111111111000011111111111110000111111111111	25.4
168	1,1,0,3,1,0,0,6,5,0,5,7,5,7,7	11110000011111111110000011110000011111000001111100	39.51
169	7,7,6,7,4,4,0,7,7,1,6,2,7,3,0	11111111111110000000111111111100000011111111110000	33.86
171	0,3,0,2,7,7,7,4,2,2,0,6,4,6,6	11111110000000111111111111111111111111111111111100	28.22
172	0,5,5,3,4,0,2,6,5,2,1,7,4,1,7	11000001111111111111111111000001111111111111111110	28.22
173	7,2,1,7,5,4,5,5,2,0,0,6,7,7,0	11111111111111111111111111111111111111111111111100	16.93
177	1,0,4,2,6,2,5,5,4,6,5,5,5,7,3	11111111000001111111111111100000011111111111110000	33.86
179	7,6,1,4,4,1,4,4,1,5,2,6,5,0,0	11111000001111111111111000000011111110000000111111	33.86
180	5,0,4,7,0,4,3,0,7,1,4,1,3,7,4	11111111111111111111100000000000011111111111111111	22.58
181	3,4,4,7,3,2,7,6,0,4,0,4,3,2,6	11111111000000001111111111111111111111111111111111	22.58
182	2,1,0,2,1,0,6,0,7,6,5,6,2,2,6	11000000111111111111111111111111111110000000000001	28.22
184	0,4,6,7,1,3,6,6,3,0,6,7,7,0,5	11111110000011111110000111111100000111111100000111	33.86
188	3,7,1,7,6,0,1,4,4,5,1,0,0,2,0	11111111111100000000000000000000000000000000000000	16.93
189	4,0,1,7,7,1,4,2,0,3,0,2,3,2,5	11111111100000000000000011111111111111111111111111	22.58
190	4,3,1,3,4,4,3,3,0,6,3,4,1,1,3	11111100000001111111111111111111111111111111111111	22.58
192	0,7,2,1,5,3,6,3,4,2,4,6,7,2,0	11111111111111111111111111100001111111111111111111	22.58
197	5,5,0,7,6,2,4,0,2,0,4,5,4,3,4	11111111111111111110000000011111111111111111111111	22.58
199	2,5,4,3,6,5,3,6,6,2,2,7,4,0,3	11000001111111111111111100000011111100000001111111	33.86
201	1,0,6,4,0,0,0,5,2,1,4,2,2,5,3	11111111110000000011111111111111110000000011111111	28.22
204	7,1,0,1,2,0,7,3,2,3,3,7,3,1,3	11110000001111111111111111111110000000001111111110	33.86
206	4,1,5,5,5,3,5,1,2,5,1,4,1,7,4	11111110000000001111111111111111111111111111111111	22.58
207	5,5,3,6,4,5,7,6,5,3,3,0,5,2,4	11111111111111111100000000000000000000001111111111	22.58
208	2,4,4,2,6,6,2,7,4,4,6,1,5,7,6	11111111111000000000001111111111111000000000001111	28.22
210	0,1,1,1,3,3,6,2,6,6,4,6,7,0,4	11000001111111110000111111000111100011110000111000	45.15
211	4,0,5,7,3,7,4,1,5,0,2,7,5,1,4	11111000001111111111100000001111111100000001111111	33.86
215	1,1,2,3,4,7,0,7,3,1,4,6,2,1,4	11100000111111111111111111111100000000000000000111	31.04
218	2,5,3,3,0,6,3,1,3,0,4,1,3,0,5	11111111111000000000001111111111111110000000000111	28.22
219	5,0,0,4,1,6,0,7,1,5,7,6,2,0,1	11111111100000000000000000000000000000000000000000	16.93
220	6,3,3,3,4,2,4,5,2,6,7,1,1,2,3	11111111111111000000000000000000111111111111111111	22.58
222	6,1,6,2,4,0,3,4,7,0,7,2,4,7,6	11111111111111111111111111111110000000000001111111	22.58
223	6,3,4,6,0,0,1,5,0,4,2,5,4,3,7	11110000001111111111111000011111100000011111000000	39.51
227	2,4,6,6,7,5,3,6,1,5,0,0,2,3,6	11111111100000000000000000000000000001111111111111	22.58
229	7,4,0,7,6,7,4,2,7,3,1,5,3,0,1	11000000000000011111111111111110000000000000011111	28.22
231	4,4,3,3,0,1,0,4,5,5,2,1,3,4,6	11100000000001111111111111100000000001111111111000	33.86
234	6,2,4,0,0,3,1,7,7,4,4,5,6,3,6	11000001111111100001111000011111000011110000011110	45.15
235	7,4,7,1,7,0,1,6,2,3,3,6,3,5,5	11110000001111111111111111111100000011111111111111	28.22
239	7,6,6,3,6,0,0,0,6,5,4,0,3,6,3	11111100000000000000000000000111111111111100000000	28.22
240	3,7,1,7,4,3,3,1,4,2,2,5,5,5,0	11111111111111110000001111111111111111111111000000	25.4
241	2,2,7,2,4,1,5,3,7,1,5,2,6,6,4	11111111111111111111111000000000111111111111111111	22.58
243	6,5,7,5,2,3,5,1,0,4,4,2,0,2,7	11111111111111110000000000000111111111111111111111	22.58
244	6,7,3,2,7,7,7,0,7,2,1,3,5,7,5	11111111000000000111111111111111111100000000011111	28.22
246	2,5,2,3,7,3,0,0,0,1,3,6,1,1,0	11111111111111110000011111111111111111111111111000	28.22
248	2,1,6,5,5,6,0,0,2,6,1,6,1,2,4	11000000011111111111111111111111111111111000000000	25.4
249	5,6,5,0,4,4,1,2,7,3,3,7,7,1,4	11100001111111110000111100001111000011110001111000	36.69
250	5,5,3,7,3,2,6,3,4,6,0,1,3,4,0	11111111111111111000000000000000001111111111111111	22.58
251	0,3,5,4,5,0,4,3,2,5,5,7,5,3,3	11111100001111111111100001111111111100000111111111	31.04
252	0,4,6,5,3,0,6,2,3,7,0,7,2,1,4	11100000001111111111111111111111111111111111110000	28.22
254	5,2,7,5,5,2,2,4,1,7,4,5,2,6,5	11111000000111111111111111111111000001111110000011	36.69
255	3,6,0,2,6,6,1,4,5,0,4,2,7,2,7	11111100000000011111111100000011111100000111110000	42.33
256	3,1,7,4,7,0,6,2,1,7,0,4,7,3,3	11111100000000111111111111111111111111111111000000	28.22
262	6,3,0,4,7,4,3,5,6,7,5,1,3,7,4	11111110000000000000000111111111111111110000000001	31.04
263	3,2,1,5,5,5,2,0,1,0,7,6,5,7,6	11111111111111111111111111111111111100000011111111	22.58
265	7,4,5,2,6,6,2,5,5,0,3,5,5,6,0	11111111111111111111111111111111111111111111111000	16.93
267	0,6,0,0,5,6,0,4,4,5,1,2,2,6,4	11111000000000011111111111111111111111111100000000	28.22
269	3,4,5,7,0,1,5,6,0,5,2,5,6,1,0	11111111111111111111000001111111111111111111100000	22.58
272	0,5,3,5,3,3,2,5,6,6,5,4,6,7,4	11110000011111110000011111111000011111111000001111	36.69
273	1,1,1,5,1,3,0,3,7,1,5,5,5,5,4	11100001111111110000001111110000001111110000001111	36.69
276	4,4,5,5,2,7,6,7,4,0,0,7,6,6,6	11111111100000111111111111111111111111000001111111	28.22
277	5,2,7,2,4,0,7,6,5,4,7,0,7,2,1	11111111111111111111111111111111111111111111111111	5.64
281	7,1,0,3,1,0,6,0,4,5,2,5,2,3,0	11111111000000011111111111111111111111111100000000	25.4
284	1,6,7,6,2,4,0,0,0,2,4,7,4,7,6	11111110000111111100001111111000111111100011111110	31.04
285	6,6,6,0,2,6,1,6,6,7,2,6,4,6,4	11100000111111111111110000111111000001111100000111	42.33
286	0,1,0,5,2,0,6,0,3,0,2,6,7,7,2	11111111111111111111111111111111111111111000000111	22.58
287	0,1,6,6,0,5,6,5,6,7,0,0,2,3,6	11111000000000000000000001111111111111111111111000	28.22
288	4,3,5,4,2,1,2,6,6,6,3,0,6,3,2	11111111000000000000000000111111111100000000000000	28.22
290	1,5,6,2,4,2,5,7,3,3,2,6,4,4,6	11111000001111111111111100000111111111111110000011	28.22
291	1,3,3,6,2,2,2,4,4,5,1,2,4,6,4	11111000000000111111111111111110000000000111111111	28.22
297	2,0,2,4,7,4,4,0,2,0,6,6,2,0,1	11111111111111100000011111111111111111111111111111	22.58
299	0,5,4,7,0,2,7,2,3,5,5,7,0,7,5	11111111000001111111111111111111111000001111111111	28.22
300	4,5,5,2,1,7,2,7,7,6,4,7,4,6,0	11111110001111111111000011111111110001111111111000	31.04
301	0,4,1,4,0,5,2,4,1,7,1,1,7,4,4	11111111000000001111111111000000001111111111000000	28.22
303	0,2,6,5,1,4,3,4,5,5,3,3,6,1,6	11000000111111100000111111000001111111000001111110	36.69
306	3,4,6,4,7,7,3,7,7,4,1,6,4,4,7	11000000111111111111111111111000000000111111111100	33.86
308	3,6,6,4,2,0,2,4,4,4,5,5,6,0,0	11111000001111111111000001111111111000011111111110	33.86
310	0,0,1,3,0,7,5,3,7,5,4,3,2,5,6	11110000000111111111111111000000011111110000000111	33.86
311	5,4,6,3,4,7,2,0,3,7,4,3,6,2,6	11100000011111111000001111000001111100001111100001	42.33
313	2,5,5,2,2,1,1,4,5,0,5,4,7,7,3	11111111111111111100000011111111111111111100000011	25.4
315	4,1,5,1,3,5,1,7,4,6,0,2,1,3,5	11100000000000011111111111111111111111111111111111	22.58
316	7,3,7,0,6,3,4,7,7,2,2,3,3,3,3	11111100000000011111111111111111111000000000111111	28.22
319	1,7,6,5,6,2,0,7,6,5,1,2,1,1,0	11110000000000011111111111111111111111111111111111	22.58
323	0,5,4,2,7,4,1,0,7,6,7,4,7,6,2	11111000011111110000011111100000111111100001111111	36.69
324	3,3,0,0,0,4,5,5,7,1,2,0,0,2,5	11111111111111000000000000000000000000000000000000	16.93
327	2,6,2,3,0,7,0,7,5,0,2,4,7,0,5	11100000111111111100000000111111110000000011111111	33.86
328	7,2,5,6,3,2,6,1,1,6,5,4,5,7,7	11111111111100000001111111111111111110000001111111	28.22
332	3,7,6,4,2,1,5,3,7,4,3,2,0,5,2	11111111110000000000000011111111111111111111111111	22.58
333	5,6,6,7,2,5,1,6,4,6,2,3,0,2,3	11100000000011111111111111111111111111111111111111	22.58
334	6,1,3,0,7,5,0,1,5,1,4,5,2,3,5	11100000011111111111111111111111110000000000000111	31.04
340	7,1,3,0,5,4,2,4,2,4,1,1,7,2,5	11111000000000000001111111111111110000000000001111	31.04
341	3,4,5,2,6,0,2,3,4,7,7,5,7,7,7	11100000011111111000000111111110000001111111100000	25.4
342	3,3,2,5,2,1,0,6,2,5,7,0,2,3,7	11111000000000000000000011111111111111111100000000	28.22
345	1,5,6,0,5,2,2,1,5,2,5,3,2,7,3	11111111111111000000001111111111111111111111110000	28.22
346	7,1,1,1,1,7,4,1,1,2,4,2,1,7,7	11111111111111111111111111000000000000111111111111	22.58
348	5,4,5,3,2,5,1,3,2,4,7,7,2,0,6	11000011111111111111111111111111111111111111111111	22.58
351	1,1,0,5,7,5,2,5,4,6,0,2,6,5,1	11111100000000000111111111111111111111111111110000	28.22
352	7,2,3,7,2,0,0,3,4,0,6,2,5,1,6	11110000000011111111110000001111110000001111110000	36.69
353	2,6,2,1,2,1,0,2,3,7,7,1,1,4,3	11111110000000000000011111111111111111111111111110	25.4
356	7,1,6,2,5,7,3,6,5,6,7,1,7,5,7	11111110000000000111111111000000000011111111000000	31.04
357	0,6,7,0,6,2,3,2,2,0,4,3,4,1,6	11111111111111100000001111111111111111111000000011	28.22
361	3,1,5,6,6,7,4,4,6,3,6,0,3,2,7	11111111110000000000000000000000111111111111000000	28.22
362	6,6,5,6,1,7,5,1,0,4,7,7,2,6,6	11111111111111111111110000111111111111111111111111	22.58
368	6,7,0,5,5,6,2,0,6,2,4,5,3,5,1	11111110000001111111111111111100000001111111000000	33.86
370	2,2,2,5,0,7,3,3,2,3,6,6,3,4,3	11111111100001111111111110000111111111111000011111	28.22
374	4,2,6,0,0,0,0,4,0,2,3,0,1,1,2	11111111111111111111111111000000000000000000000001	19.75
384	1,4,7,3,4,4,3,6,3,3,4,7,6,6,2	11111111100001111111111100001111111111100011111111	31.04
385	3,3,1,3,7,2,5,3,1,5,3,7,2,3,1	11111111100000011111111111111111111111111111100000	25.4
387	2,0,6,5,4,3,3,6,1,3,0,7,4,5,7	11110000001111111111111111111111111111100000000000	25.4
390	5,5,2,3,7,1,5,3,6,6,4,5,5,7,2	11111100000001111111111111111000000011111111111111	28.22
391	5,3,7,3,2,1,4,3,6,7,2,2,3,4,4	11110000000000011111111111111111100000000000111111	28.22
392	5,3,4,3,0,4,7,2,6,1,4,7,1,1,4	11111000011111111111111111111111111100000011111110	33.86
394	0,7,6,1,7,6,3,5,2,6,3,4,3,0,5	11110000011111111111111000001111111111111000000111	33.86
395	3,2,1,0,5,3,2,0,1,3,6,7,2,5,2	11111111111111000011111111111111111111111111000001	28.22
396	2,2,7,2,5,3,2,1,4,7,3,0,7,4,7	11111000000000000000111111000000000000000111111100	28.22
398	6,7,6,0,6,0,3,7,1,3,2,0,7,1,4	11111111111111111110000000000000000000000011111111	22.58
399	2,1,1,4,6,2,2,3,7,6,7,7,6,6,5	11000011111111110000111110000111110000011110000011	39.51
400	0,4,5,6,3,2,3,3,6,7,6,1,4,0,2	11110000000001111111100000000001111111100000000001	31.04
402	2,5,6,2,5,2,4,4,5,0,6,5,6,4,5	11111111111111111100000011111111111111111111100000	25.4
403	6,0,7,0,7,6,7,5,1,2,5,7,4,4,2	11111111111111111111111111111111000001111111111111	22.58
406	6,7,4,5,1,1,7,1,6,2,6,7,6,4,4	11111110000011111111111110000111111111111100001111	31.04
