file_number	genotype_raw	phenotype_binary	complexity_entropy
1	6,5,2,0,0,1,2,6,2,2,1,1,7,6,3	11111111111111111000000000001111111111111111111000	28.22
2	4,2,0,0,7,5,7,4,0,4,1,7,4,0,3	11111000001111111111111111111111000000000111111111	31.04
14	1,2,2,2,7,3,0,2,6,5,2,4,3,2,7	11000000111111111111111110000000000001111111111110	33.86
15	1,5,1,3,7,0,6,2,5,3,4,2,6,1,5	11111000000000001111111111100000000000011111111110	31.04
19	1,6,1,7,5,2,2,5,0,3,6,4,4,2,7	11111111100000011111111111111110000001111111111111	28.22
20	0,0,2,2,4,1,4,1,1,2,1,7,1,0,1	11111000000111111111111111111111111111111111111000	28.22
21	7,2,6,2,4,6,7,7,0,5,7,6,2,5,4	11111111111111111111111111111111100000111111111111	22.58
34	6,2,6,5,1,2,0,0,4,6,3,3,0,5,4	11000000000111111111111111111111111111111111111111	22.58
35	6,2,4,7,2,3,5,4,3,5,7,4,6,3,5	11111100000011111111111000000111111111110000001111	28.22
41	0,1,1,4,0,2,4,5,0,1,6,1,7,0,5	11111111111111111111111111111100000000011111111111	22.58
42	4,5,1,5,7,4,0,5,0,4,0,4,4,7,6	11111000000011111111111111111111111111111111110000	28.22
44	5,4,4,3,5,7,1,0,3,3,2,4,6,4,7	11100000011111111111100000111111000000111111000000	33.86
56	2,5,4,2,1,7,4,4,3,2,3,6,6,0,2	11110000111111111000011111111100001111111100001111	33.86
57	4,6,1,2,5,1,7,5,7,4,5,5,7,4,4	11111000000011111111111000000011111111111000000011	28.22
61	3,0,3,4,0,6,6,7,6,7,3,2,7,6,1	11111111111110000000111111111111100000001111111111	25.4
64	1,6,0,7,6,0,7,5,7,2,7,3,1,3,3	11111111111110000000000001111111111111111111111111	22.58
67	4,7,1,2,7,1,0,5,1,7,4,6,0,5,6	11100000011111111111111111111111111111111111111111	22.58
70	5,3,3,7,1,0,6,1,2,3,5,6,5,5,7	11111111000001111111111111110000001111111111111110	31.04
85	6,6,0,6,5,2,7,7,4,1,4,1,3,6,4	11111111111111111111111111111111111111111111111111	5.64
88	1,4,2,7,0,3,3,0,5,7,4,1,4,1,3	11110000000000111111111000000111111000000111111000	36.69
92	1,5,1,0,2,4,4,4,6,0,6,5,2,2,1	11111111111111111111111111111000000011111111111111	22.58
93	3,6,7,1,3,2,0,6,2,7,6,5,3,2,3	11110000011111111111000001111110000011111000000111	39.51
95	5,4,0,6,1,4,2,2,1,6,3,7,2,5,5	11100000111111111111111111111100000000000000011111	31.04
96	6,7,3,0,5,1,5,0,0,0,7,2,1,1,2	11111111111111111111111111111111111111111111111111	5.64
109	5,6,2,0,1,5,0,4,2,4,0,3,3,4,0	11111111110000000011111111111111111111111111111000	28.22
112	6,7,4,1,6,3,5,1,5,5,5,3,4,3,5	11111000000000111111111111111000000001111111111111	28.22
113	0,3,7,5,7,5,2,7,1,3,7,6,0,5,0	11111111111111111111111111111111111111111111111111	5.64
119	3,4,5,5,6,5,0,2,7,6,5,4,0,5,6	11000000111111111111111111111111111111111111111111	22.58
124	7,5,1,0,5,1,7,1,0,7,5,0,4,2,2	11111111111111111111111111111111111111111111111111	5.64
127	4,5,6,7,1,5,1,2,0,2,3,5,7,7,6	11111111111100001111111111000011111111110000111111	28.22
137	7,2,6,6,7,3,3,3,6,1,5,0,3,3,5	11111111111111111111111100000000000000000000000000	16.93
138	4,1,0,3,6,1,6,4,5,1,3,1,1,7,5	11111111111111111111111111111110000000000000000000	16.93
139	5,1,4,5,1,6,7,0,3,6,0,2,5,3,1	11111111100000000001111111111111111111111000000011	31.04
149	7,3,4,0,6,1,3,4,6,5,3,5,3,3,5	11100000001111111111111111111111100000001111111111	28.22
150	0,1,3,7,3,1,3,0,2,1,7,4,6,4,4	11111111111111111111110000001111111111111111111111	22.58
