ID	Cusps	OPC
5	0	4.500000
1	1	10.500000
22	2	82.625000
27	3	103.000000
225	4	167.625000
221	5	197.250000
149	6	95.625000
384	7	122.500000
230	8	103.125000
179	9	162.500000
314	10	119.125000
3	11	78.375000
48	12	66.125000
1321	13	157.500000
658	14	92.625000
100	15	185.000000
16	16	144.000000
862	17	208.000000
93	18	255.000000
375	19	248.750000
277	20	213.250000
402	21	100.125000
1563	22	150.000000
1699	23	281.375000
2454	24	347.875000
519	25	149.875000
878	26	232.875000
677	27	225.250000
838	28	288.500000
275	29	191.375000
249	30	213.750000
533	31	265.000000
1533	32	359.875000
1120	33	369.375000
4798	34	306.000000
1363	35	266.375000
5028	36	248.250000
651	37	468.250000
1669	38	271.875000
1806	39	307.625000
2404	40	472.250000
1845	41	248.875000
1791	42	410.625000
697	43	296.500000
3377	44	473.250000
1733	45	465.500000
43	46	362.500000
8279	48	337.250000
9956	49	745.375000
7438	50	493.125000
1332	51	323.875000
4278	53	589.625000
4501	54	669.500000
3487	55	474.625000
1564	56	846.250000
8062	58	387.250000
1862	59	590.000000
3721	62	808.000000
999	63	782.375000
4220	64	664.500000
2	65	547.875000
5573	66	497.000000
8261	67	616.625000
2521	68	563.375000
8916	69	581.125000
3597	70	967.250000
980	72	730.500000
912	73	769.000000
4480	74	620.625000
7659	76	1181.000000
649	77	973.125000
1788	78	806.375000
1536	81	546.750000
3206	83	899.375000
5022	84	932.250000
4048	86	1157.500000
8007	87	792.750000
5218	97	1100.125000
8159	105	1141.375000
5119	111	930.875000
8781	112	1302.625000
6661	121	1197.375000
8503	142	1618.250000
244	196	4841.625000
