ID	Cusps	OPC
1	0	8.500000
2	1	8.500000
3	1	17.250000
5	0	10.500000
16	0	10.000000
22	2	82.625000
27	0	10.500000
43	1	14.500000
48	0	11.500000
93	0	12.750000
100	1	10.500000
149	13	161.625000
179	1	8.500000
221	0	11.750000
225	6	145.250000
230	0	2.250000
244	1	17.250000
249	0	8.500000
275	26	189.375000
277	34	324.750000
314	9	125.875000
375	26	158.125000
384	0	7.750000
402	1	8.500000
519	15	81.875000
533	11	79.875000
649	77	973.125000
651	1	12.500000
658	1	18.000000
677	0	9.000000
697	22	157.000000
838	1	10.500000
862	13	166.125000
878	1	10.500000
912	1	23.375000
980	34	426.000000
1120	1	10.375000
1321	6	17.625000
1332	7	59.625000
1363	22	301.500000
1533	1	21.000000
1536	80	1268.375000
1563	1	8.500000
1564	159	2273.000000
1669	9	127.625000
1699	1	10.500000
1733	0	2.750000
1788	22	246.250000
1791	1	9.750000
1806	1	9.000000
1845	1	47.375000
1862	0	8.375000
2404	1	24.250000
2454	20	174.125000
2521	70	604.875000
3206	1	9.000000
3377	1	14.250000
3487	5	41.875000
3597	0	11.750000
3721	21	179.750000
4048	1	21.000000
4220	2	36.500000
4278	30	265.625000
4480	13	105.625000
4501	17	231.375000
4798	7	111.625000
5022	0	27.375000
5028	0	2.750000
5119	1	22.500000
5218	1	12.750000
5573	1	20.500000
6661	54	367.625000
7438	0	16.750000
7659	0	9.500000
8007	0	2.250000
8062	11	134.875000
8159	1	18.500000
8261	0	11.875000
8279	1	12.750000
8503	119	1325.125000
8781	145	6961.000000
9956	2	25.500000
