ID	Cusps	OPC
1	1	46.875000
2	0	8.500000
3	5	183.000000
4	1	18.000000
5	1	7.750000
6	0	10.000000
7	1	9.375000
8	1	26.125000
9	1	31.125000
10	0	9.500000
11	1	10.500000
12	0	11.500000
14	1	10.500000
15	1	10.500000
16	1	13.125000
17	1	31.250000
18	3	68.750000
19	8	139.875000
20	0	17.250000
21	1	9.500000
22	0	8.500000
23	0	9.250000
24	1	10.750000
25	0	11.000000
26	1	8.500000
27	0	9.250000
28	0	11.500000
29	1	18.000000
30	1	8.250000
31	1	10.500000
32	1	23.250000
33	1	9.500000
34	1	20.125000
35	10	83.375000
36	0	12.000000
37	0	8.250000
38	1	10.000000
39	0	11.750000
40	0	10.500000
41	0	9.000000
42	1	10.000000
43	1	8.250000
44	1	11.250000
45	1	11.000000
46	1	10.000000
47	1	10.500000
48	1	10.500000
49	0	8.500000
50	0	2.250000
51	1	10.250000
52	0	11.500000
53	1	11.750000
54	0	9.500000
55	25	276.375000
56	0	5.500000
57	19	249.000000
58	0	2.250000
59	0	8.500000
60	0	73.250000
61	0	10.500000
62	1	10.500000
63	0	11.250000
64	0	12.000000
65	1	10.500000
66	0	10.500000
67	0	10.750000
68	1	15.250000
69	1	9.500000
70	1	9.250000
71	30	267.875000
72	0	10.000000
73	1	35.750000
74	1	9.500000
75	1	9.250000
76	0	3.750000
77	1	20.750000
78	1	9.500000
79	1	19.125000
80	1	26.750000
81	1	8.500000
82	3	31.750000
83	0	3.750000
84	1	10.500000
85	1	10.500000
86	0	2.250000
87	1	10.500000
88	1	9.000000
89	1	16.750000
90	0	8.250000
91	0	12.000000
92	0	10.000000
93	0	7.250000
94	0	2.250000
95	15	201.875000
96	0	2.250000
97	1	20.750000
98	0	8.000000
99	0	12.000000
100	0	5.000000
101	0	9.500000
102	102	992.625000
103	0	8.500000
104	1	23.500000
105	0	2.250000
106	21	153.250000
107	0	8.500000
108	0	12.000000
109	1	2.500000
110	2	53.125000
111	0	9.500000
112	0	11.625000
113	1	8.750000
114	0	12.000000
115	1	22.250000
116	1	16.125000
117	1	10.500000
118	1	10.250000
119	1	10.250000
120	0	12.000000
121	0	60.250000
122	0	7.250000
123	1	12.000000
124	1	10.500000
125	0	11.625000
126	1	14.750000
127	0	12.000000
128	0	11.625000
129	0	2.250000
130	1	17.750000
131	1	9.500000
132	1	10.500000
133	1	9.500000
134	0	12.000000
135	0	9.000000
136	0	5.500000
137	0	9.000000
138	1	10.500000
139	0	12.000000
140	1	303.625000
141	1	8.250000
142	1	20.750000
143	0	11.000000
144	0	10.375000
145	1	8.500000
146	0	5.500000
147	0	12.000000
148	0	9.500000
149	1	15.750000
150	1	9.500000
151	1	35.625000
152	0	11.500000
153	15	88.250000
154	1	8.500000
155	0	4.500000
156	1	8.500000
157	1	9.625000
158	1	10.500000
159	1	65.375000
160	1	20.750000
161	0	5.500000
162	1	8.750000
163	1	9.500000
164	1	9.500000
166	0	3.750000
167	1	10.500000
168	1	10.500000
169	0	11.500000
170	7	120.875000
171	1	10.000000
172	1	11.250000
173	1	10.750000
174	1	19.750000
175	0	10.000000
176	0	8.500000
177	1	20.000000
178	0	2.250000
179	0	12.000000
180	0	12.000000
181	1	10.500000
182	1	10.500000
183	1	10.750000
184	1	10.000000
185	1	14.000000
186	1	117.125000
187	1	10.000000
188	0	10.500000
189	1	10.500000
190	2	46.625000
191	1	10.750000
192	0	10.500000
193	0	8.500000
194	1	9.000000
195	0	11.875000
196	0	11.500000
197	0	9.500000
198	1	29.375000
199	4	31.875000
200	0	12.000000
201	0	8.500000
202	0	12.000000
203	0	12.000000
204	1	10.500000
205	9	134.000000
206	1	8.500000
207	1	16.625000
208	0	8.500000
209	1	10.500000
210	1	23.500000
211	0	12.000000
212	1	10.250000
213	1	9.500000
214	0	9.500000
215	5	181.500000
216	0	5.500000
217	2	44.500000
218	1	11.375000
219	1	10.500000
220	1	8.750000
221	1	9.750000
222	0	9.500000
223	1	132.250000
224	2	26.625000
225	1	15.375000
226	1	12.750000
227	1	19.000000
228	1	10.500000
230	0	10.500000
231	0	8.500000
232	0	8.375000
233	0	11.875000
234	1	9.000000
235	0	5.750000
236	1	20.875000
237	0	11.750000
238	0	12.000000
239	1	10.500000
240	1	10.750000
241	1	9.500000
242	1	9.750000
243	0	9.500000
244	1	11.750000
245	1	22.875000
246	0	11.750000
247	1	24.750000
248	0	3.250000
249	0	4.500000
250	2	52.250000
251	0	2.250000
252	1	8.500000
253	0	10.000000
254	1	11.250000
255	0	11.500000
256	1	11.250000
257	1	10.500000
258	0	3.750000
259	1	14.875000
260	0	2.250000
261	0	11.500000
262	1	23.000000
263	0	9.250000
264	1	8.500000
265	11	124.000000
266	1	10.500000
267	0	8.500000
268	0	12.000000
269	1	9.500000
270	1	22.750000
271	0	4.500000
272	0	2.500000
273	0	9.500000
274	7	358.000000
275	2	40.625000
276	0	12.000000
277	1	9.500000
278	1	19.500000
279	1	16.875000
280	0	7.250000
281	1	21.500000
282	0	11.500000
283	1	9.750000
284	1	9.500000
285	2	29.250000
286	1	9.000000
287	1	17.250000
288	1	10.500000
289	1	9.500000
290	1	15.750000
291	0	5.500000
292	1	8.500000
293	0	12.000000
294	1	8.750000
295	1	11.500000
296	1	10.500000
297	1	21.500000
298	0	8.500000
299	1	10.000000
300	0	4.500000
301	0	9.500000
302	2	23.500000
303	1	11.000000
304	0	11.500000
305	1	10.250000
306	1	15.500000
307	1	15.000000
308	3	96.125000
309	1	34.500000
310	1	10.000000
311	0	12.000000
312	20	203.750000
313	0	8.375000
314	1	8.250000
315	1	10.250000
316	1	20.250000
317	1	12.500000
318	0	12.000000
319	6	93.500000
320	0	4.500000
321	0	9.750000
322	2	42.250000
323	1	10.000000
324	0	10.375000
325	0	12.500000
326	0	10.500000
327	0	22.500000
328	16	239.875000
329	0	10.000000
330	9	33.000000
331	1	32.000000
332	0	9.250000
333	1	10.500000
334	1	10.500000
335	0	9.500000
336	1	8.250000
337	0	9.250000
338	0	2.250000
339	0	7.750000
340	0	10.500000
341	0	8.500000
342	0	14.250000
343	0	8.500000
344	1	8.500000
345	1	10.500000
346	0	9.500000
347	1	10.500000
348	1	9.500000
349	1	20.500000
350	0	5.500000
351	0	9.250000
352	1	10.500000
353	1	65.625000
354	1	11.750000
355	41	278.000000
356	0	8.250000
357	1	9.500000
358	0	9.000000
359	27	403.375000
360	2	16.000000
361	1	8.500000
362	1	27.750000
363	1	21.000000
364	1	9.000000
365	0	11.750000
366	1	10.500000
367	0	11.875000
368	2	2.250000
369	1	9.250000
370	0	9.500000
371	0	12.000000
372	2	45.250000
373	0	4.500000
374	1	10.500000
375	1	8.500000
376	0	5.750000
377	1	8.500000
378	10	195.750000
379	0	12.000000
380	0	12.000000
381	1	10.500000
382	0	12.000000
383	0	2.750000
384	0	9.000000
385	1	9.750000
386	1	24.250000
387	1	14.875000
388	0	2.250000
389	0	12.000000
390	1	10.500000
391	1	10.250000
392	0	11.500000
393	1	16.000000
394	24	212.125000
395	0	9.250000
396	1	10.500000
397	0	7.000000
399	0	5.500000
400	1	10.500000
401	0	2.250000
402	1	11.750000
403	0	12.000000
404	29	216.125000
405	1	13.250000
406	0	11.875000
407	1	11.000000
408	1	10.500000
409	0	11.750000
410	0	9.500000
411	0	2.750000
412	1	12.750000
413	0	9.375000
414	1	9.500000
415	0	12.000000
416	1	10.500000
417	0	8.375000
418	1	10.500000
419	13	84.625000
420	0	12.000000
421	0	12.000000
422	0	4.500000
423	1	8.500000
424	1	13.750000
425	0	9.500000
426	0	9.500000
427	0	12.000000
428	1	10.500000
429	2	35.625000
430	8	48.250000
431	1	9.250000
432	1	12.250000
433	1	10.375000
434	0	8.000000
435	1	10.750000
436	0	2.750000
437	1	10.250000
438	1	8.500000
439	1	11.875000
440	1	7.250000
441	1	9.500000
442	0	10.375000
443	0	9.500000
444	0	2.750000
445	1	10.500000
446	0	9.500000
447	1	18.000000
448	1	15.750000
449	1	11.500000
450	0	7.250000
451	0	10.000000
452	0	8.500000
453	0	7.250000
454	0	9.250000
455	1	24.250000
456	0	11.500000
457	1	9.500000
458	1	11.750000
459	0	9.500000
460	0	9.500000
461	1	8.500000
462	1	18.750000
463	0	12.000000
464	0	4.500000
465	1	10.500000
466	1	10.000000
467	0	12.000000
468	3	78.125000
469	1	10.500000
470	0	12.750000
471	1	29.000000
472	12	393.000000
473	1	9.500000
474	1	10.500000
475	1	21.250000
476	1	8.250000
477	1	10.000000
478	0	12.000000
479	2	30.500000
480	0	10.875000
481	0	8.500000
482	1	58.250000
483	1	9.500000
484	1	12.375000
485	1	15.750000
486	1	10.625000
487	1	10.375000
488	0	12.000000
489	0	9.500000
490	1	20.500000
491	1	16.625000
492	0	2.250000
493	0	11.250000
494	0	95.625000
495	0	2.250000
496	0	10.500000
497	1	28.250000
498	1	8.000000
499	0	12.000000
500	1	10.500000
501	0	11.750000
502	15	224.125000
503	1	15.750000
504	1	11.000000
505	0	9.250000
506	0	2.250000
507	0	8.750000
508	2	155.750000
509	0	9.500000
510	7	133.875000
511	0	11.750000
512	1	44.750000
513	1	13.250000
514	1	9.500000
515	1	18.000000
516	1	9.500000
517	1	20.250000
518	0	11.000000
519	1	32.750000
520	0	11.875000
521	1	11.750000
522	0	8.500000
523	14	247.750000
524	0	11.500000
525	0	10.250000
526	1	17.500000
527	1	8.250000
528	1	10.500000
529	1	11.500000
530	1	41.375000
531	0	9.500000
532	1	10.250000
533	1	16.750000
534	3	36.750000
535	1	22.000000
536	0	5.750000
537	2	26.750000
