ID	Cusps	OPC
1	1	10.500000
2	65	547.875000
3	11	78.375000
4	1	12.250000
5	0	4.500000
6	1	13.250000
7	1	10.500000
8	0	9.750000
9	0	12.000000
10	1	10.500000
11	0	11.875000
12	1	8.500000
13	0	11.500000
14	0	11.250000
15	0	4.000000
16	16	144.000000
17	1	9.000000
18	1	151.625000
19	1	46.000000
20	1	13.000000
21	1	9.500000
22	2	82.625000
23	0	10.500000
24	0	9.500000
25	0	10.500000
26	0	9.500000
27	3	103.000000
28	0	12.000000
29	0	12.000000
30	2	8.250000
31	0	8.250000
32	0	2.250000
33	1	10.500000
34	0	9.500000
35	1	20.500000
36	1	47.500000
37	1	9.500000
38	1	10.500000
39	1	10.500000
40	0	9.500000
41	0	3.250000
42	1	14.000000
43	46	362.500000
44	0	19.250000
45	1	9.500000
46	0	3.250000
47	1	18.000000
48	12	66.125000
49	1	10.500000
50	1	10.250000
51	1	15.250000
52	1	10.500000
53	1	8.500000
54	1	10.500000
55	1	8.500000
56	1	8.250000
57	0	12.000000
58	1	8.750000
59	0	3.750000
60	0	12.000000
61	1	10.500000
62	1	10.500000
63	1	26.375000
64	0	11.000000
65	1	8.375000
66	0	2.250000
67	1	15.500000
68	1	10.000000
69	1	8.500000
70	0	3.250000
71	1	12.250000
72	1	40.750000
73	0	9.500000
74	1	19.000000
75	1	10.250000
76	1	8.500000
77	0	9.000000
78	1	10.500000
79	0	9.500000
80	0	2.750000
81	0	10.250000
82	1	9.500000
83	1	10.000000
84	0	12.000000
85	1	12.000000
86	1	9.500000
87	0	9.500000
88	0	2.250000
89	1	10.500000
90	1	18.250000
91	0	3.250000
92	0	4.500000
93	18	255.000000
94	0	9.500000
95	1	8.500000
96	1	17.000000
97	0	8.500000
98	1	10.500000
99	0	30.250000
100	15	185.000000
101	1	10.500000
102	1	8.500000
103	1	21.000000
104	1	22.375000
105	1	10.500000
106	0	8.500000
107	1	10.500000
108	1	8.500000
109	0	18.750000
110	1	10.000000
111	0	5.500000
112	0	3.375000
113	1	19.000000
114	1	9.500000
115	0	2.250000
116	0	10.500000
117	1	33.500000
118	0	11.625000
119	0	9.500000
120	1	12.750000
121	1	17.000000
122	0	7.250000
123	1	10.500000
124	1	8.750000
125	0	8.500000
126	1	10.250000
127	1	9.500000
128	1	11.500000
129	0	12.000000
130	1	10.500000
131	1	8.375000
132	1	10.750000
133	1	11.250000
134	1	10.500000
135	1	9.500000
136	0	2.250000
137	1	17.000000
138	1	8.500000
139	1	14.625000
140	0	12.000000
141	1	18.500000
142	1	11.000000
143	1	16.125000
144	1	9.500000
145	1	20.500000
146	1	10.000000
